DrugID,DrugName,ConnectivitySMILES
49,"3,5-Dinitrocatechol",C1=C(C=C(C(=C1[N+](=O)[O-])O)O)[N+](=O)[O-]
50,"3,5-diiodothyropropionic acid",C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CCC(=O)O)I
51,3-isobutyl-1-methyl-7H-xanthine,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
52,"4-Bromo-2,5-dimethoxyamphetamine",CC(CC1=CC(=C(C=C1OC)Br)OC)N
53,"4-Bromo-2,5-dimethoxyphenethylamine",COC1=CC(=C(C=C1CCN)OC)Br
54,4-Hydroxytestosterone,CC12CCC3C(C1CCC2O)CCC4=C(C(=O)CCC34C)O
55,4-Methoxyamphetamine,CC(CC1=CC=C(C=C1)OC)N
56,4-Oxoretinol,CC1=C(C(CCC1=O)(C)C)C=CC(=CC=CC(=CCO)C)C
57,4-hydroxycoumarin,C1=CC=C2C(=C1)C(=CC(=O)O2)O
58,5-(2-methylpiperazine-1-sulfonyl)isoquinoline,CC1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3
59,5-androstenedione,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(=O)C4)C
60,5-fluorouridine,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
61,"5-methoxy-N,N-dimethyltryptamine",CN(C)CCC1=CNC2=C1C=C(C=C2)OC
62,5-methyltetrahydrofolic acid,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
63,5beta-dihydrotestosterone,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
64,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE",C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
65,6-Deoxyerythronolide B,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)O)C)O)C)C)C)O)C
66,6-O-benzylguanine,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N
67,"6S-5,6,7,8-Tetrahydrobiopterin",CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
68,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",C1CNCC2=C1C=CC(=C2Cl)Cl
69,"7,9-Dimethylguanine",CN1C=[N+](C2=C1C(NC(N2)N)O)C
70,7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O
71,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,C1CC(=C(N2C1C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
72,7-Deazaguanine,C1=CNC2=C1C(=O)NC(=N2)N
73,7-Hydroxystaurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC
74,7-Nitroindazole,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2
75,8-azaguanine,C12=NNN=C1N=C(NC2=O)N
76,8-chlorotheophylline,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl
77,9-(N-methyl-L-isoleucine)-cyclosporin A,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)CC)C)C
78,9-Beta-D-Xylofuranosyl-Adenine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
79,9-Deazaguanine,C1=CNC2=C1N=C(NC2=O)N
80,9-Methylguanine,CN1C=NC2=C1N=C(NC2=O)N
81,9-aminocamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
82,AICA ribonucleotide,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N
83,ALT-2074,CC1(CN[Se]C2=CC=CC=C21)C
84,AMG-222,CC(CC1(C2=C(CCC3=C1C=CC(=C3)C(=O)N(C)C)C=C(C=C2)C(=O)N(C)C)C4=NNN=N4)NCC(=O)N5CCCC5C#N
85,AS-8112,CCN1CCN(CC(C1)NC(=O)C2=CC(=C(C=C2OC)NC)Br)C
86,AZD-3043,CCCOC(=O)CC1=CC(=C(C=C1)OCC(=O)N(CC)CC)OCC
87,AZD-5991,CC1=C2C(=NN1C)CSCC3=NN(C(=C3)CSC4=CC5=CC=CC=C5C(=C4)OCCCC6=C(N(C7=C6C=CC(=C27)Cl)C)C(=O)O)C
88,Abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
89,Abafungin,CC1=CC(=C(C=C1)OC2=CC=CC=C2C3=CSC(=N3)NC4=NCCCN4)C
90,Abametapir,CC1=CN=C(C=C1)C2=NC=C(C=C2)C
91,Abediterol,C1=CC=C(C=C1)C(COCCCCCCNCC(C2=C3C=CC(=O)NC3=C(C=C2)O)O)(F)F
92,Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
93,Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO
94,Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
95,Abrocitinib,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3
96,Acalabrutinib,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5
97,Acamprosate,CC(=O)NCCCS(=O)(=O)O
98,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
99,Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
100,Aceclofenac,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
101,Acefylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O
102,Acemetacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
103,Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
104,Acepromazine,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
105,Aceprometazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(=O)C)N(C)C
106,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O
107,Acetate,CC(=O)[O-]
108,Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
109,Acetoacetic acid,CC(=O)CC(=O)O
110,Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
111,Acetophenazine,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO
112,Acetyl sulfisoxazole,CC1=C(ON=C1C)N(C(=O)C)S(=O)(=O)C2=CC=C(C=C2)N
113,Acetylamino-Acetic Acid,CC(=O)NCC(=O)O
114,Acetylcholine,CC(=O)OCC[N+](C)(C)C
115,Acetylcysteine,CC(=O)NC(CS)C(=O)O
116,Acetyldigitoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O
117,Acetyldigoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)OC(=O)C)O
118,Acetylleucine,CC(C)CC(C(=O)O)NC(=O)C
119,Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(=O)O
120,Acipimox,CC1=CN=C(C=[N+]1[O-])C(=O)O
121,Acitretin,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
122,Aclarubicin,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O
123,Aclidinium,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5
124,Acotiamide,CC(C)N(CCNC(=O)C1=CSC(=N1)NC(=O)C2=CC(=C(C=C2O)OC)OC)C(C)C
125,Acrivastine,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O
126,Acteoside,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
127,Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N
128,Adagrasib,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F
129,Adefovir,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
130,Adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
131,Ademetionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
132,Adenine,C1=NC2=NC=NC(=C2N1)N
133,Adinazolam,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
134,Adipiplon,CCCC1=C(N=CN2C1=NC(=N2)C)CN3C=CN=C3C4=C(C=CC=N4)F
135,Adrafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO
136,Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
137,Afimoxifene,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
138,Agmatine,C(CCN=C(N)N)CN
139,Agomelatine,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
140,Ajmaline,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C
141,Alanosine,C(C(C(=O)[O-])[NH3+])N(N=O)O
142,Alaproclate,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N
143,Albaconazole,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)N3C=NC4=C(C3=O)C=CC(=C4)Cl
144,Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
145,Albuterol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
146,Alcaftadine,CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1
147,Alclofenac,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl
148,Alclometasone,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
149,Alcloxa,C1(C(=O)NC(=N1)[O-])NC(=O)N.[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-]
150,Alcuronium,C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16
151,Aldosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O
152,Aldoxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=NNC(=O)CCCCCN6C(=O)C=CC6=O)CO)O)N)O
153,Alectinib,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C
