DrugID,DrugName,SideEffect
897.0,Desflurane,C0015395
897.0,Desflurane,C0015397
897.0,Desflurane,C0015672
897.0,Desflurane,C0015967
897.0,Desflurane,C0017178
897.0,Desflurane,C0018681
897.0,Desflurane,C0018790
897.0,Desflurane,C0018799
897.0,Desflurane,C0019079
897.0,Desflurane,C0019080
897.0,Desflurane,C0518015
897.0,Desflurane,C0019158
897.0,Desflurane,C0020440
897.0,Desflurane,C0860713
897.0,Desflurane,C0020461
897.0,Desflurane,C0020538
897.0,Desflurane,C0020540
897.0,Desflurane,C0020621
897.0,Desflurane,C0020649
897.0,Desflurane,C0022346
897.0,Desflurane,C0022568
897.0,Desflurane,C0023066
897.0,Desflurane,C0023895
897.0,Desflurane,C0151763
897.0,Desflurane,C0239571
897.0,Desflurane,C0025061
897.0,Desflurane,C0026837
897.0,Desflurane,C0027051
897.0,Desflurane,C0948089
897.0,Desflurane,C0027497
897.0,Desflurane,C0027765
897.0,Desflurane,C0030252
897.0,Desflurane,C0031350
897.0,Desflurane,C0033774
897.0,Desflurane,C0035078
897.0,Desflurane,C0035410
897.0,Desflurane,C0036572
897.0,Desflurane,C0036974
897.0,Desflurane,C0037036
897.0,Desflurane,C0039231
897.0,Desflurane,C0040479
897.0,Desflurane,C0041834
897.0,Desflurane,C0042109
897.0,Desflurane,C0042373
897.0,Desflurane,C0042401
897.0,Desflurane,C1142412
897.0,Desflurane,C0042963
897.0,Desflurane,C0080203
897.0,Desflurane,C0085584
897.0,Desflurane,C0085605
897.0,Desflurane,C0085631
897.0,Desflurane,C0086565
897.0,Desflurane,C0149931
897.0,Desflurane,C0151578
897.0,Desflurane,C0235431
897.0,Desflurane,C0151744
897.0,Desflurane,C0151766
897.0,Desflurane,C0151798
897.0,Desflurane,C0151827
897.0,Desflurane,C0151904
897.0,Desflurane,C0151905
897.0,Desflurane,C0155003
897.0,Desflurane,C0155169
897.0,Desflurane,C0014236
897.0,Desflurane,C0162297
897.0,Desflurane,C0162429
897.0,Desflurane,C0220981
897.0,Desflurane,C0231218
897.0,Desflurane,C0234215
897.0,Desflurane,C1443060
897.0,Desflurane,C2047937
897.0,Desflurane,C0231528
897.0,Desflurane,C0948594
897.0,Desflurane,C0231835
897.0,Desflurane,C0234632
897.0,Desflurane,C0235063
897.0,Desflurane,C0855775
897.0,Desflurane,C0235266
897.0,Desflurane,C0235744
897.0,Desflurane,C0241057
897.0,Desflurane,C0242184
897.0,Desflurane,C0262662
897.0,Desflurane,C0340464
897.0,Desflurane,C0151636
897.0,Desflurane,C0264893
897.0,Desflurane,C0267792
897.0,Desflurane,C0311468
897.0,Desflurane,C0424332
897.0,Desflurane,C0428977
897.0,Desflurane,C0438717
897.0,Desflurane,C0475746
897.0,Desflurane,C0476273
897.0,Desflurane,C0520888
897.0,Desflurane,C0522055
897.0,Desflurane,C0541772
897.0,Desflurane,C0546817
897.0,Desflurane,C0574067
897.0,Desflurane,C0010200
897.0,Desflurane,C0746961
897.0,Desflurane,C0849925
897.0,Desflurane,C0851341
