DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
Nanatinostat,49857317,C1C2C(C2NCC3=NC4=C(C=C3)C=C(C=C4)F)CN1C5=NC=C(C=N5)C(=O)NO,394.4,1,103.0,3,8,5
Estazolam,3261,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,294.74,1.7,43.1,0,3,1
Dexibuprofen,39912,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.5,37.3,1,2,4
1-deoxymannojirimycin,72258,C1C(C(C(C(N1)CO)O)O)O,163.17,-2.3,93.0,5,5,1
Daclatasvir,25154714,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,738.9,5.1,175.0,4,8,13
Nifenazone,4487,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,308.33,2,65.5,1,4,3
Butobarbital,6473,CCCCC1(C(=O)NC(=O)NC1=O)CC,212.25,1.7,75.3,2,3,4
Ceftazidime,5481173,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],546.6,0.4,245.0,3,12,8
Ozanimod,52938427,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CCC(C4=CC=C3)NCCO)C#N,404.5,3.1,104.0,2,7,7
Crizotinib,11626560,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,450.3,3.7,78.0,2,6,5
Teneligliptin,11949652,CC1=NN(C(=C1)N2CCN(CC2)C3CC(NC3)C(=O)N4CCSC4)C5=CC=CC=C5,426.6,2.4,81.9,1,6,4
Folic acid,135398658,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,441.4,-1.1,209.0,6,10,9
Angiotensin 1-7,123805,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)O)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,899.0,-3,380.0,12,14,25
Xylazine,5707,CC1=C(C(=CC=C1)C)NC2=NCCCS2,220.34,2.8,49.7,1,2,2
Vortioxetine,9966051,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,298.4,4.2,40.6,1,3,3
Clofenamide,69594,C1=CC(=C(C=C1S(=O)(=O)N)S(=O)(=O)N)Cl,270.7,-0.7,137.0,2,6,2
Tropicamide,5593,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,284.35,1.5,53.4,1,3,6
Desipramine,2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.4,4.9,15.3,1,2,4
Difenpiramide,100472,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=CC=N3,288.3,3.8,42.0,1,2,4
Mefenamic acid,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.28,5.1,49.3,2,3,3
Zolmitriptan,60857,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,287.36,2.2,57.4,2,3,5
Midazolam,4192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.8,2.5,30.2,0,3,1
Medrysone,247839,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,344.5,2.7,54.4,1,3,1
Naftopidil,4418,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,392.5,4.1,45.2,1,5,7
Etorphine,644209,CCCC(C)(C1CC23C=CC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)C)OC)O,411.5,3.1,62.2,2,5,4
Butamben,2482,CCCCOC(=O)C1=CC=C(C=C1)N,193.24,2.9,52.3,1,3,5
Tolmetin,5509,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,257.28,2.8,59.3,1,3,4
Bencyclane,2312,CN(C)CCCOC1(CCCCCC1)CC2=CC=CC=C2,289.5,4.6,12.5,0,2,7
Rifaximin,6436173,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,785.9,6.9,198.0,5,12,3
Sulfamethoxazole,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.28,0.9,107.0,2,6,3
Digoxin,2724385,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.9,1.3,203.0,6,14,7
Cidoxepin,667468,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,279.4,4.3,12.5,0,2,3
Bendroflumethiazide,2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,421.4,1.2,135.0,3,10,3
Glutethimide,3487,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,217.26,1.9,46.2,1,2,2
Lithium cation,28486,[Li+],7.0,,0.0,0,0,0
Drospirenone,68873,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,366.5,3.5,43.4,0,3,0
Tolbutamide,5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,270.35,2.3,83.7,2,3,5
Hydroxyprogesterone caproate,169870,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C,428.6,5.7,60.4,0,4,7
Elexacaftor,134587348,CC1CC(N(C1)C2=C(C=CC(=N2)N3C=CC(=N3)OCC(C)(C)C(F)(F)F)C(=O)NS(=O)(=O)C4=CN(N=C4C)C)(C)C,597.7,4.9,133.0,1,11,8
Vinblastine,13342,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,811.0,3.7,154.0,3,12,10
Enalaprilat,5462501,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,348.4,-0.7,107.0,3,6,8
Sumatriptan,5358,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,295.40,0.9,73.6,2,4,6
Thiopental,3000715,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,242.34,2.9,90.3,2,3,4
Halothane,3562,C(C(F)(F)F)(Cl)Br,197.38,2.3,0.0,0,3,0
Tolazoline,5504,C1CN=C(N1)CC2=CC=CC=C2,160.22,2.6,24.4,1,1,2
Hypoxanthine,135398638,C1=NC2=C(N1)C(=O)NC=N2,136.11,-0.5,70.1,2,3,0
Didox,3045,C1=CC(=C(C=C1C(=O)NO)O)O,169.13,0.4,89.8,4,4,1
Desmopressin,5311065,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,1069.2,-4,489.0,13,15,19
Molindone,23897,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,276.37,1.7,45.3,1,3,3
Bumadizone,19161,CCCCC(C(=O)N(C1=CC=CC=C1)NC2=CC=CC=C2)C(=O)O,326.4,4.9,69.6,2,4,8
Selenious acid,1091,O[Se](=O)O,128.99,,57.5,2,3,0
Nabilone,5284592,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,372.5,6.4,46.5,1,3,6
Mazaticol,68667,CC1(CCC2CC(CC1N2C)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)C,405.6,4.5,106.0,1,6,5
Capecitabine,60953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,359.35,0.6,121.0,3,7,7
Kebuzone,3824,CC(=O)CCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,322.4,1.2,57.7,0,3,5
Phenmetrazine,4762,CC1C(OCCN1)C2=CC=CC=C2,177.24,1.4,21.3,1,2,1
Arsenic trioxide,14888,[O-2].[O-2].[O-2].[As+3].[As+3],197.841,,3.0,0,3,0
Tivozanib,9911830,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,454.9,4,108.0,2,7,6
Trimethaphan,23576,C1CC2C3C(C[S+]2C1)N(C(=O)N3CC4=CC=CC=C4)CC5=CC=CC=C5,365.5,3.6,24.6,0,1,4
Flumazenil,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,303.29,1,64.4,0,5,3
Saprisartan,60921,CCC1=NC(=C(N1CC2=CC3=C(C=C2)OC(=C3Br)C4=CC=CC=C4NS(=O)(=O)C(F)(F)F)C(=O)N)C5CC5,611.4,5.2,129.0,2,9,8
Ethyl biscoumacetate,54685524,CCOC(=O)C(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,408.4,2.5,119.0,2,8,5
Elafibranor,9864881,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC,384.5,5.1,88.9,1,5,7
Boceprevir,10324367,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,519.7,3.1,151.0,4,5,10
Carbetocin,16681432,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,988.2,-1.1,388.0,10,13,18
Acefylline,69550,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O,238.20,-0.8,95.7,1,5,2
Sulfamethoxypyridazine,5330,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,280.31,0.3,116.0,2,7,4
Testosterone cypionate,441404,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=CC(=O)CCC35C,412.6,6.4,43.4,0,3,5
Noscapine,275196,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,413.4,2.7,75.7,0,8,4
Cibenzoline,2747,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,262.3,2.7,24.4,1,1,3
Erdafitinib,67462786,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,446.5,3.2,77.3,1,7,9
Bunazosin,2472,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,373.4,2.2,93.8,1,7,5
Primidone,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,218.25,0.9,58.2,2,2,2
Fluphenazine,3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,437.5,4.4,55.3,1,8,6
Hydrogen iodide,24841,I,127.9124,0.9,0.0,1,0,0
Secobarbital,5193,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,238.28,2,75.3,2,3,5
Naproxen,156391,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,230.26,3.3,46.5,1,3,3
Bleomycin,5360373,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1415.6,-7.5,685.0,20,31,36
Palifosfamide,100427,C(CCl)NP(=O)(NCCCl)O,221.02,-0.4,61.4,3,4,6
Ethadione,10630,CCN1C(=O)C(OC1=O)(C)C,157.17,0.7,46.6,0,3,1
Lonafarnib,148195,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,638.8,4.8,79.5,1,3,3
Bezafibrate,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.8,3.8,75.6,2,4,7
Romifidine,71969,C1CN=C(N1)NC2=C(C=CC=C2Br)F,258.09,1.4,36.4,2,2,2
Amobarbital,2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,226.27,2.1,75.3,2,3,4
Probenecid,4911,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,285.36,3.2,83.1,1,5,7
Fabomotizole,9862937,CCOC1=CC2=C(C=C1)N=C(N2)SCCN3CCOCC3,307.4,2.3,75.7,1,5,6
Midostaurin,9829523,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,570.6,4.8,77.7,1,4,3
Paroxetine,43815,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,329.4,3.5,39.7,1,5,4
Benazepril,5362124,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,424.5,1.3,95.9,2,6,10
Pipenzolate,4832,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,354.5,3.6,46.5,1,3,6
Dobutamine,36811,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,301.4,3.4,72.7,4,4,7
Xanthine,1188,C1=NC2=C(N1)C(=O)NC(=O)N2,152.11,-0.7,86.9,3,3,0
Cisapride,6917698,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.9,3.4,86.1,2,7,9
Acetaminophen,1983,CC(=O)NC1=CC=C(C=C1)O,151.16,0.5,49.3,2,2,1
Propentofylline,4938,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C,306.36,0.7,75.5,0,4,7
Pheneturide,72060,CCC(C1=CC=CC=C1)C(=O)NC(=O)N,206.24,1.8,72.2,2,2,3
Vandetanib,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,475.4,4.9,59.5,1,7,6
Vinylbital,72135,CCCC(C)C1(C(=O)NC(=O)NC1=O)C=C,224.26,2,75.3,2,3,4
Emepronium,34055,CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C2=CC=CC=C2,282.4,4.8,0.0,0,0,6
Roflumilast,449193,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,403.2,4.6,60.5,1,6,7
Piperacillin,43672,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,517.6,0.5,182.0,3,8,6
Alcaftadine,19371515,CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1,307.4,1.7,38.1,0,3,1
Rifampin,135398735,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,822.9,4.9,220.0,6,15,5
Meclofenamic acid,4037,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,296.1,5.2,49.3,2,3,3
Eravacycline,54726192,CN(C)C1C2CC3CC4=C(C=C(C(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,558.6,1,194.0,6,11,5
Sparfloxacin,60464,CC1CN(CC(N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4,0.1,98.9,3,9,3
Lofexidine,30668,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl,259.13,2.6,33.6,1,2,3
Remacemide,60511,CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN,268.35,2.3,55.1,2,2,5
Lisuride,28864,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,338.4,2.7,51.4,2,2,3
Pomalidomide,134780,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,273.24,0.2,110.0,2,5,1
Oxaprotiline,38207,CNCC(CC12CCC(C3=CC=CC=C31)C4=CC=CC=C24)O,293.4,3.6,32.3,2,2,4
Adipiplon,11198924,CCCC1=C(N=CN2C1=NC(=N2)C)CN3C=CN=C3C4=C(C=CC=N4)F,351.4,2.3,73.8,0,6,5
Pizotifen,27400,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1,295.4,3.8,31.5,0,2,0
Tamsulosin,129211,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,408.5,2.7,108.0,2,7,11
Ethanol,702,CCO,46.07,-0.1,20.2,1,1,0
Clomifene,1548955,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,406.0,7.2,12.5,0,2,9
Tafenoquine,115358,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,463.5,5.4,78.6,2,9,9
Zosuquidar,3036703,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5C6C(C6(F)F)C7=CC=CC=C47,527.6,4.9,48.8,1,7,6
Rimegepant,51049968,C1CC(C2=C(C=CC=N2)C(C1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,534.6,2.3,114.0,2,8,4
Dichlorvos,3039,COP(=O)(OC)OC=C(Cl)Cl,220.97,1.4,44.8,0,4,4
Encorafenib,50922675,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,540.0,2.7,149.0,3,10,10
Ethinylestradiol,5991,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,296.4,3.7,40.5,2,2,1
Propylthiouracil,657298,CCCC1=CC(=O)NC(=S)N1,170.23,0.8,73.2,2,2,2
Penamecillin,10250769,CC(=O)OCOC(=O)C1C(SC2N1C(=O)C2NC(=O)CC3=CC=CC=C3)(C)C,406.5,2.1,127.0,1,7,8
Fenozolone,135436543,CCN=C1NC(=O)C(O1)C2=CC=CC=C2,204.22,1.6,50.7,1,3,2
Hydrocortisone acetate,5744,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,404.5,2.2,101.0,2,6,4
Zaleplon,5719,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,305.33,1,74.3,0,4,3
Flurazepam,3393,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,387.9,3,35.9,0,4,6
Nicotine,89594,CN1CCCC1C2=CN=CC=C2,162.23,1.2,16.1,0,2,1
Amiodarone,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3,7.6,42.7,0,4,11
Olodaterol,11504295,CC(C)(CC1=CC=C(C=C1)OC)NCC(C2=C3C(=CC(=C2)O)NC(=O)CO3)O,386.4,1.8,100.0,4,6,7
Xylometazoline,5709,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C,244.37,3.2,24.4,1,1,3
Reposal,19254,CCC1(C(=O)NC(=O)NC1=O)C2=CC3CCC(C3)C2,262.30,1.7,75.3,2,3,2
Bentazepam,135412795,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CC=C4,296.4,3.7,69.7,1,3,1
Acetylcysteine,12035,CC(=O)NC(CS)C(=O)O,163.20,0.4,67.4,3,4,3
Metabutethamine,11115,CC(C)CNCCOC(=O)C1=CC(=CC=C1)N,236.31,2,64.4,2,4,7
Pramocaine,4886,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2,293.4,3.1,30.9,0,4,9
Cortisone acetate,5745,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,402.5,2.1,97.7,1,6,4
Ganciclovir,135398740,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,255.23,-2.5,135.0,4,6,5
Albendazole,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.33,2.9,92.3,2,4,5
Quazepam,4999,C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,386.8,4,47.7,0,6,2
Pazopanib,10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,437.5,3.1,127.0,2,8,5
Tedizolid phosphate,11476460,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4CC(OC4=O)COP(=O)(O)O)F,450.3,0.3,153.0,2,11,6
Omapatrilat,656629,C1CC(N2C(C1)SCCC(C2=O)NC(=O)C(CC3=CC=CC=C3)S)C(=O)O,408.5,2.8,113.0,3,6,5
Mavacamten,117761397,CC(C)N1C(=O)C=C(NC1=O)NC(C)C2=CC=CC=C2,273.33,2.1,61.4,2,3,4
Amitriptyline,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.4,5,3.2,0,1,3
Danazol,28417,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,337.5,3.8,46.3,1,3,1
Captopril,44093,CC(CS)C(=O)N1CCCC1C(=O)O,217.29,0.3,58.6,2,4,3
Adinazolam,37632,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,351.8,1.6,46.3,0,4,3
Disulfiram,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5,3.9,121.0,0,4,7
Difluocortolone,11954369,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C)F,394.5,2.3,74.6,2,6,2
Vilazodone,6918314,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,441.5,4,102.0,2,5,7
Pipecuronium,50192,CC(=O)OC1CC2CCC3C(C2(CC1N4CC[N+](CC4)(C)C)C)CCC5(C3CC(C5OC(=O)C)N6CC[N+](CC6)(C)C)C,602.9,4.5,59.1,0,6,6
1-benzylimidazole,77918,C1=CC=C(C=C1)CN2C=CN=C2,158.20,1.6,17.8,0,1,2
Ixazomib,25183872,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,361.0,,98.7,4,4,7
Choline,305,C[N+](C)(C)CCO,104.17,-0.4,20.2,1,1,2
Mifepristone,55245,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,429.6,3.8,40.5,1,3,3
Cefaclor,51039,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,367.8,-1.8,138.0,3,6,4
Metocurine,21233,C[N+]1(CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C,652.8,6.7,55.4,0,6,4
Artemether,68911,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C,298.37,3.1,46.2,0,5,1
Englitazone,6918151,C1CC2=C(C=CC(=C2)CC3C(=O)NC(=O)S3)OC1CC4=CC=CC=C4,353.4,4.4,80.7,1,4,4
Cefatrizine,6410758,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,462.5,-2.3,225.0,5,10,7
Proparacaine,4935,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N,294.39,2.7,64.8,1,5,10
Triclabendazole,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,359.7,5.7,63.2,1,3,3
Gadopentetic acid,6857474,C(CN(CC(=O)O)CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-].[Gd+3],547.57,,205.0,2,13,13
Chlordiazepoxide,2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,299.75,2.4,48.2,1,3,1
Nirogacestat,46224413,CCCC(C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C)NC2CCC3=C(C2)C(=CC(=C3)F)F,489.6,4.8,71.0,3,6,11
Carbinoxamine,2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,290.79,2.9,25.4,0,3,6
Floctafenine,3360,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,406.4,3.7,91.7,3,9,7
Nicomorphine,5362460,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC(=O)C6=CN=CC=C6)OC3C(C=C4)OC(=O)C7=CN=CC=C7,495.5,2.7,90.9,0,8,6
Hexestrol,192197,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,270.4,5.2,40.5,2,2,5
Bexagliflozin,25195624,C1CC1OCCOC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,464.9,2.4,109.0,4,7,9
Deflazacort,189821,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,441.5,2,102.0,1,7,4
Xamoterol,155774,C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,339.39,-0.6,103.0,4,6,8
Lesinurad,53465279,C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O,404.3,4.7,93.3,1,5,5
Vaborbactam,56649692,B1(C(CCC(O1)CC(=O)O)NC(=O)CC2=CC=CS2)O,297.14,,124.0,3,6,5
Deudextromethorphan,25052519,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,277.4,3.4,12.5,0,2,1
Progabide,44115,C1=CC(=CC=C1C(=NCCCC(=O)N)C2=C(C=CC(=C2)F)O)Cl,334.8,3,75.7,2,4,6
Phenytoin,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.27,2.5,58.2,2,2,2
