DrugID,DrugName
697,Cibenzoline
698,Ciclesonide
699,Cicletanine
700,Ciclopirox
701,Cidofovir
702,Cidoxepin
703,Ciglitazone
704,Cilansetron
705,Cilastatin
706,Cilazapril
707,Cilazaprilat
708,Cilnidipine
709,Cilostazol
710,Cimetidine
711,Cimetropium
712,Cimicoxib
713,Cinacalcet
714,Cinazepam
715,Cinchocaine
716,Cinchophen
717,Cinitapride
718,Cinnamaldehyde
719,Cinnarizine
720,Cinolazepam
721,Cinoxacin
722,Ciprofibrate
723,Ciprofloxacin
724,Cirazoline
725,Cisapride
726,Citalopram
727,Citrulline
728,Cladribine
729,Clarithromycin
730,Clavulanic acid
731,Clemastine
732,Clenbuterol
733,Clevidipine
734,Clidinium
735,Clinafloxacin
736,Clindamycin
737,Clobazam
738,Clobetasol
739,Clobetasol propionate
740,Clobetasone
741,Clocortolone
742,Clocortolone acetate
743,Clodronic acid
744,Clofarabine
745,Clofazimine
746,Clofedanol
747,Clofenamide
748,Clofibrate
749,Clofibride
750,Clomethiazole
751,Clometocillin
752,Clomifene
753,Clomipramine
754,Clomocycline
755,Clonazepam
756,Clonidine
757,Clonixin
758,Clopamide
759,Clopenthixol
760,Clopidogrel
761,Cloprednol
762,Cloprostenol
763,Cloranolol
764,Clorazepic acid
765,Clorexolone
766,Clorgiline
767,Cloricromen
768,Clorindione
769,Clorobiocin
770,Clorsulon
771,Clostebol
772,Clothiapine
773,Clotiazepam
774,Clotrimazole
775,Cloxacillin
776,Cloxazolam
777,Clozapine
778,Cobicistat
779,Cobimetinib
780,Cocaine
781,Codeine
782,Colchicine
783,Colistimethate
784,Combretastatin A4
785,Conivaptan
786,Copanlisib
787,Copper
788,Cordycepin
789,Corticosterone
790,Cortisone
791,Cortisone acetate
792,Cortivazol
793,Coumaphos
794,Coumarin
795,Coumermycin A1
796,Crenolanib
797,Crizotinib
798,Curcumin
799,Curcumin sulfate
800,Cyamemazine
801,Cyanocobalamin
802,Cyclacillin
803,Cyclandelate
804,Cyclic adenosine monophosphate
805,Cyclizine
806,Cyclobarbital
807,Cyclobenzaprine
808,Cycloguanil
809,Cyclohexylammonium Ion
810,Cyclopentamine
811,Cyclopenthiazide
812,Cyclopentolate
813,Cyclophosphamide
814,Cyclopropane
815,Cycloserine
816,Cyclosporine
817,Cyclothiazide
818,Cycrimine
819,Cymarin
820,Cyproheptadine
821,Cyproterone acetate
822,Cysteamine
823,Cytarabine
824,D-Levofloxacin
825,D-Phenylalanine
826,D-Tryptophan
827,D-chiro-Inositol
828,DAR-0100A
829,DL-Methylephedrine
830,DL-alpha-Tocopherol
831,DPDPE
832,Dabigatran
833,Dabigatran etexilate
834,Dabrafenib
835,Dacarbazine
836,Daclatasvir
837,Dacomitinib
838,Dactinomycin
839,Dactolisib
840,Daidzein
841,Daidzin
842,Dalfampridine
843,Dalfopristin
844,Danazol
845,Danicopan
846,Danoprevir
847,Dantrolene
848,Dantron
849,Dapagliflozin
850,Dapiprazole
851,Dapoxetine
852,Daprodustat
853,Dapsone
854,Daptomycin
855,Darexaban
856,Daridorexant
857,Darifenacin
858,Darodipine
859,Darolutamide
860,Darunavir
861,Dasabuvir
862,Dasatinib
863,Dasotraline
864,Daunorubicin
865,Deacetoxycephalosporin C
866,Deacetylbisacodyl
867,Deanol
868,Debrisoquine
869,Decamethonium
870,Decamethoxine
871,Decitabine
872,Deferasirox
873,Deferiprone
874,Deflazacort
875,Degarelix
876,Dehydroascorbic acid
877,Dehydrocholic acid
878,Delafloxacin
879,Delamanid
880,Delapril
881,Delavirdine
882,Delorazepam
883,Delpazolid
884,Demecarium
885,Demeclocycline
886,Demecolcine
887,Demegestone
888,Deoxycholic acid
889,Deoxyepinephrine
890,Deoxyspergualin
891,Deptropine
892,Dequalinium
893,Deramciclane
894,Dermatan sulfate
895,Dersalazine
896,Deserpidine
897,Desflurane
898,Desipramine
899,Deslanoside
900,Desloratadine
901,Desmopressin
902,Desogestrel
903,Desomorphine
904,Desonide
905,Desoximetasone
906,Desoxycorticosterone acetate
907,Desoxycorticosterone pivalate
908,Desvenlafaxine
909,Detomidine
910,Deucravacitinib
911,Deudextromethorphan
912,Deudomperidone
913,Deupirfenidone
914,Deuruxolitinib
915,Deutetrabenazine
916,Deutivacaftor
917,Dexamethasone acetate
918,Dexamethasone isonicotinate
919,Dexetimide
920,Dexfenfluramine
921,Dexibuprofen
922,Dexisometheptene mucate
923,Dexketoprofen
924,Dexlansoprazole
925,Dexloxiglumide
926,Dexmecamylamine
927,Dexmedetomidine
928,Dexmethylphenidate
929,Dexniguldipine
930,Dexpanthenol
931,Dexpramipexole
932,Dexpropranolol
933,Dexrabeprazole
934,Dexrazoxane
935,Dextilidine
936,Dextofisopam
937,Dextromethadone
938,Dextromoramide
939,Dextropropoxyphene
940,Dextrorphan
941,Dextrothyroxine
942,Dexverapamil
943,Dezocine
944,Diacerein
945,Diamorphine
946,Dianhydrogalactitol
947,Diatrizoate
948,Diazepam
949,Diazoxide
950,Dibekacin
