drug1,drug2,pair_key
etomidate,hydroxyzine,etomidate||hydroxyzine
fimasartan,taurocholic acid,fimasartan||taurocholic acid
dexrazoxane,iptacopan,dexrazoxane||iptacopan
glycopyrronium,talbutal,glycopyrronium||talbutal
cudc-101,temafloxacin,cudc-101||temafloxacin
(r)-propafenone,repinotan,(r)-propafenone||repinotan
antipyrine,vecuronium,antipyrine||vecuronium
cannabidivarin,methdilazine,cannabidivarin||methdilazine
"(1r,2s)-2-phenylcyclopropanaminium",oliceridine,"(1r,2s)-2-phenylcyclopropanaminium||oliceridine"
ipratropium,linaclotide,ipratropium||linaclotide
fosinopril,pemetrexed,fosinopril||pemetrexed
dimenhydrinate,diphenidol,dimenhydrinate||diphenidol
guanoclor,quetiapine,guanoclor||quetiapine
polythiazide,trandolaprilat,polythiazide||trandolaprilat
gadofosveset trisodium,ribostamycin,gadofosveset trisodium||ribostamycin
ebselen,kanamycin,ebselen||kanamycin
(r)-warfarin,micafungin,(r)-warfarin||micafungin
almotriptan,epirizole,almotriptan||epirizole
alfaxalone,fluvoxamine,alfaxalone||fluvoxamine
enrofloxacin,floctafenine,enrofloxacin||floctafenine
(s)-econazole,loperamide,(s)-econazole||loperamide
benzylpenicilloyl polylysine,octylphenoxy polyethoxyethanol,benzylpenicilloyl polylysine||octylphenoxy polyethoxyethanol
metocurine,phenprobamate,metocurine||phenprobamate
doxylamine,s-ethylisothiourea,doxylamine||s-ethylisothiourea
lusutrombopag,telotristat ethyl,lusutrombopag||telotristat ethyl
7-nitroindazole,domoic acid,7-nitroindazole||domoic acid
clevidipine,saquinavir,clevidipine||saquinavir
caroverine,dexverapamil,caroverine||dexverapamil
atosiban,fenoterol,atosiban||fenoterol
alfacalcidol,difluocortolone,alfacalcidol||difluocortolone
docetaxel,seproxetine,docetaxel||seproxetine
droperidol,nisoldipine,droperidol||nisoldipine
fosfomycin,ranitidine,fosfomycin||ranitidine
clocortolone acetate,testosterone cypionate,clocortolone acetate||testosterone cypionate
methocarbamol,midazolam,methocarbamol||midazolam
medifoxamine,thioridazine,medifoxamine||thioridazine
"2,5-dimethoxy-4-ethylthioamphetamine",phendimetrazine,"2,5-dimethoxy-4-ethylthioamphetamine||phendimetrazine"
naproxen,rimiterol,naproxen||rimiterol
ifosfamide,topiroxostat,ifosfamide||topiroxostat
nifedipine,pioglitazone,nifedipine||pioglitazone
dexverapamil,diazoxide,dexverapamil||diazoxide
duvelisib,tamoxifen,duvelisib||tamoxifen
buspirone,clofarabine,buspirone||clofarabine
oxyphenbutazone,reproterol,oxyphenbutazone||reproterol
cinacalcet,eletriptan,cinacalcet||eletriptan
deserpidine,trimazosin,deserpidine||trimazosin
lidoflazine,revumenib,lidoflazine||revumenib
dacarbazine,osilodrostat,dacarbazine||osilodrostat
isoflavone,lithium cation,isoflavone||lithium cation
cortivazol,ephedrine,cortivazol||ephedrine
mepyramine,pracinostat,mepyramine||pracinostat
biochanin a,vamorolone,biochanin a||vamorolone
cefoxitin,iothalamic acid,cefoxitin||iothalamic acid
isoprenaline,linezolid,isoprenaline||linezolid
gw842166,pregabalin,gw842166||pregabalin
dopamine,guacetisal,dopamine||guacetisal
bendroflumethiazide,benziodarone,bendroflumethiazide||benziodarone
iprazochrome,valnoctamide,iprazochrome||valnoctamide
brefeldin a,ergometrine,brefeldin a||ergometrine
eliglustat,tesmilifene,eliglustat||tesmilifene
mephenytoin,tiotropium,mephenytoin||tiotropium
fosinopril,morphine,fosinopril||morphine
methyclothiazide,safinamide,methyclothiazide||safinamide
epitizide,tapentadol,epitizide||tapentadol
cefozopran,idebenone,cefozopran||idebenone
6-deoxyerythronolide b,lidocaine,6-deoxyerythronolide b||lidocaine
inosine,proglumetacin,inosine||proglumetacin
cloranolol,flibanserin,cloranolol||flibanserin
ditiocarb,pralsetinib,ditiocarb||pralsetinib
ketoconazole,nintedanib,ketoconazole||nintedanib
bisoprolol,lomifylline,bisoprolol||lomifylline
astaxanthin,padeliporfin,astaxanthin||padeliporfin
gaboxadol,piritramide,gaboxadol||piritramide
doxacurium,fentanyl,doxacurium||fentanyl
homatropine methylbromide,mepenzolate,homatropine methylbromide||mepenzolate
dehydrocholic acid,phenobarbital,dehydrocholic acid||phenobarbital
(r)-rolipram,meperidine,(r)-rolipram||meperidine
clemastine,dichlorvos,clemastine||dichlorvos
captodiame,clidinium,captodiame||clidinium
deoxyspergualin,mercaptopurine,deoxyspergualin||mercaptopurine
periciazine,phenethylamine,periciazine||phenethylamine
deflazacort,pralatrexate,deflazacort||pralatrexate
cicletanine,vilazodone,cicletanine||vilazodone
iofetamine i-123,tenoxicam,iofetamine i-123||tenoxicam
dimenhydrinate,octamoxin,dimenhydrinate||octamoxin
fabomotizole,valnoctamide,fabomotizole||valnoctamide
oxyfedrine,pizotifen,oxyfedrine||pizotifen
alosetron,idalopirdine,alosetron||idalopirdine
sitagliptin,zidovudine,sitagliptin||zidovudine
bosentan,proglumetacin,bosentan||proglumetacin
ecopipam,lasmiditan,ecopipam||lasmiditan
atrasentan,butanilicaine,atrasentan||butanilicaine
diphenoxylate,metildigoxin,diphenoxylate||metildigoxin
pargyline,phenibut,pargyline||phenibut
aluminium nicotinate,ribostamycin,aluminium nicotinate||ribostamycin
"5-methoxy-n,n-dimethyltryptamine",gaboxadol,"5-methoxy-n,n-dimethyltryptamine||gaboxadol"
ammonium bicarbonate,iopromide,ammonium bicarbonate||iopromide
bromazepam,doramectin,bromazepam||doramectin
chlorpromazine,metixene,chlorpromazine||metixene
enzalutamide,pidotimod,enzalutamide||pidotimod
8-chlorotheophylline,valpromide,8-chlorotheophylline||valpromide
bacitracin,chromium,bacitracin||chromium
atazanavir,tucidinostat,atazanavir||tucidinostat
cefotaxime,esflurbiprofen,cefotaxime||esflurbiprofen
prednisone,terbutaline,prednisone||terbutaline
diazepam,granisetron,diazepam||granisetron
clobazam,probenecid,clobazam||probenecid
6-deoxyerythronolide b,alectinib,6-deoxyerythronolide b||alectinib
aceprometazine,methylene blue,aceprometazine||methylene blue
melatonin,nitrendipine,melatonin||nitrendipine
diclofenac,nepafenac,diclofenac||nepafenac
chromic cation,testosterone cypionate,chromic cation||testosterone cypionate
sitaxentan,testosterone cypionate,sitaxentan||testosterone cypionate
eszopiclone,naronapride,eszopiclone||naronapride
alclometasone,bexagliflozin,alclometasone||bexagliflozin
ixazomib,propoxycaine,ixazomib||propoxycaine
polaprezinc,sparfloxacin,polaprezinc||sparfloxacin
oxitropium,tiemonium iodide,oxitropium||tiemonium iodide
lonazolac,mibefradil,lonazolac||mibefradil
etoricoxib,phenobarbital,etoricoxib||phenobarbital
primaquine,quinacrine,primaquine||quinacrine
dexpramipexole,lurasidone,dexpramipexole||lurasidone
fluocortolone,vinorelbine,fluocortolone||vinorelbine
atomoxetine,tegafur,atomoxetine||tegafur
mersalyl,naltrexone,mersalyl||naltrexone
linezolid,tolonidine,linezolid||tolonidine
apomorphine,selumetinib,apomorphine||selumetinib
butylscopolamine,phenserine,butylscopolamine||phenserine
megestrol acetate,rizatriptan,megestrol acetate||rizatriptan
delafloxacin,entinostat,delafloxacin||entinostat
mephenoxalone,samidorphan,mephenoxalone||samidorphan
cefroxadine,hydroxocobalamin,cefroxadine||hydroxocobalamin
6-deoxyerythronolide b,rosuvastatin,6-deoxyerythronolide b||rosuvastatin
doxorubicin,remoxipride,doxorubicin||remoxipride
amitriptyline,ifenprodil,amitriptyline||ifenprodil
aliskiren,cyclothiazide,aliskiren||cyclothiazide
articaine,doxifluridine,articaine||doxifluridine
dexloxiglumide,valsartan,dexloxiglumide||valsartan
castanospermine,cm-4307,castanospermine||cm-4307
letaxaban,n-propargyl-1(s)-aminoindan,letaxaban||n-propargyl-1(s)-aminoindan
indacaterol,manidipine,indacaterol||manidipine
cabergoline,enflurane,cabergoline||enflurane
almotriptan,ixazomib,almotriptan||ixazomib
cefadroxil,timolol,cefadroxil||timolol
deanol,gaboxadol,deanol||gaboxadol
isopropamide,oliceridine,isopropamide||oliceridine
procaine,safinamide,procaine||safinamide
bromisoval,deanol,bromisoval||deanol
darunavir,emopamil,darunavir||emopamil
alphaprodine,perampanel,alphaprodine||perampanel
ifenprodil,pivagabine,ifenprodil||pivagabine
alphaprodine,desipramine,alphaprodine||desipramine
phenprobamate,stiripentol,phenprobamate||stiripentol
ambroxol,cloxacillin,ambroxol||cloxacillin
dobutamine,paramethasone,dobutamine||paramethasone
spironolactone,thioproperazine,spironolactone||thioproperazine
chloroprocaine,enflurane,chloroprocaine||enflurane
difluocortolone,valbenazine,difluocortolone||valbenazine
amineptine,salmeterol,amineptine||salmeterol
ramiprilat,xipamide,ramiprilat||xipamide
albuterol,bufuralol,albuterol||bufuralol
benazepril,perindoprilat,benazepril||perindoprilat
bifeprunox,wortmannin,bifeprunox||wortmannin
bosentan,tolbutamide,bosentan||tolbutamide
benmoxin,eletriptan,benmoxin||eletriptan
guacetisal,taspoglutide,guacetisal||taspoglutide
nadolol,tofacitinib,nadolol||tofacitinib
bromocriptine,glpg-0492,bromocriptine||glpg-0492
estetrol,irbesartan,estetrol||irbesartan
canertinib,pramocaine,canertinib||pramocaine
isoetharine,nitroglycerin,isoetharine||nitroglycerin
ridaforolimus,vintafolide,ridaforolimus||vintafolide
benzphetamine,suxibuzone,benzphetamine||suxibuzone
dyclonine,phenoperidine,dyclonine||phenoperidine
"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine",dronabinol,"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine||dronabinol"
atorvastatin,fexinidazole,atorvastatin||fexinidazole
methyltestosterone,prednisone acetate,methyltestosterone||prednisone acetate
sulfamethoxazole,vortioxetine,sulfamethoxazole||vortioxetine
landiolol,lonazolac,landiolol||lonazolac
isavuconazonium,vadadustat,isavuconazonium||vadadustat
metabutethamine,tipifarnib,metabutethamine||tipifarnib
benzyl alcohol,orbifloxacin,benzyl alcohol||orbifloxacin
dextrothyroxine,pantoprazole,dextrothyroxine||pantoprazole
perillyl alcohol,prilocaine,perillyl alcohol||prilocaine
doxacurium,gadoteridol,doxacurium||gadoteridol
lipoic acid,repaglinide,lipoic acid||repaglinide
brivaracetam,sc-236,brivaracetam||sc-236
fostamatinib,ombitasvir,fostamatinib||ombitasvir
carvedilol,methoxyphenamine,carvedilol||methoxyphenamine
amitraz,hydrochlorothiazide,amitraz||hydrochlorothiazide
methylene blue,nemonoxacin,methylene blue||nemonoxacin
megestrol acetate,nicardipine,megestrol acetate||nicardipine
balsalazide,cephalexin,balsalazide||cephalexin
acemetacin,imipramine,acemetacin||imipramine
fostemsavir,silodosin,fostemsavir||silodosin
carisoprodol,thiopropazate,carisoprodol||thiopropazate
candesartan,ouabain,candesartan||ouabain
bacitracin,levmetamfetamine,bacitracin||levmetamfetamine
deutetrabenazine,sucralfate,deutetrabenazine||sucralfate
aluminium acetotartrate,nalbuphine,aluminium acetotartrate||nalbuphine
nortriptyline,omapatrilat,nortriptyline||omapatrilat
cannabinol,nitrous oxide,cannabinol||nitrous oxide
bunaftine,hydrochlorothiazide,bunaftine||hydrochlorothiazide
cefuroxime,dyphylline,cefuroxime||dyphylline
ditazole,tedizolid phosphate,ditazole||tedizolid phosphate
gliclazide,quinupramine,gliclazide||quinupramine
mechlorethamine,oxyphenonium,mechlorethamine||oxyphenonium
telaprevir,vilanterol,telaprevir||vilanterol
trifluoperazine,vadimezan,trifluoperazine||vadimezan
homatropine methylbromide,xamoterol,homatropine methylbromide||xamoterol
calcium gluconate,nedocromil,calcium gluconate||nedocromil
isoniazid,pirprofen,isoniazid||pirprofen
carbinoxamine,zonisamide,carbinoxamine||zonisamide
captopril,remikiren,captopril||remikiren
magnesium cation,xylometazoline,magnesium cation||xylometazoline
acetyldigitoxin,amsacrine,acetyldigitoxin||amsacrine
chlorzoxazone,lornoxicam,chlorzoxazone||lornoxicam
doripenem,glipizide,doripenem||glipizide
naltrexone,picosulfuric acid,naltrexone||picosulfuric acid
aluminum sulfate,floctafenine,aluminum sulfate||floctafenine
dactinomycin,penicillamine,dactinomycin||penicillamine
avapritinib,testosterone enanthate,avapritinib||testosterone enanthate
methotrimeprazine,tiaprofenic acid,methotrimeprazine||tiaprofenic acid
ifosfamide,plazomicin,ifosfamide||plazomicin
cyamemazine,thiocolchicoside,cyamemazine||thiocolchicoside
eszopiclone,sodium aurothiomalate,eszopiclone||sodium aurothiomalate
lenacapavir,stiripentol,lenacapavir||stiripentol
abacavir,chromic cation,abacavir||chromic cation
daclatasvir,ondansetron,daclatasvir||ondansetron
enzalutamide,lefamulin,enzalutamide||lefamulin
azapropazone,magnesium trisilicate,azapropazone||magnesium trisilicate
oleandomycin,phenol,oleandomycin||phenol
acetate,gatifloxacin,acetate||gatifloxacin
meticillin,sparfloxacin,meticillin||sparfloxacin
dosulepin,lorazepam,dosulepin||lorazepam
fentanyl,phenylbutazone,fentanyl||phenylbutazone
lumacaftor,quetiapine,lumacaftor||quetiapine
aclidinium,taranabant,aclidinium||taranabant
valsartan,xylazine,valsartan||xylazine
methotrimeprazine,proglumetacin,methotrimeprazine||proglumetacin
calcium,mibefradil,calcium||mibefradil
cyclobarbital,diethyl ether,cyclobarbital||diethyl ether
pibrentasvir,tariquidar,pibrentasvir||tariquidar
cyclophosphamide,fluocinonide,cyclophosphamide||fluocinonide
nitrazepam,oxaflozane,nitrazepam||oxaflozane
cefprozil,nifenazone,cefprozil||nifenazone
carprofen,linezolid,carprofen||linezolid
eribulin,estramustine,eribulin||estramustine
estradiol cypionate,norgestimate,estradiol cypionate||norgestimate
benzylpenicillin,cyanocobalamin,benzylpenicillin||cyanocobalamin
tofacitinib,wortmannin,tofacitinib||wortmannin
lamotrigine,ranolazine,lamotrigine||ranolazine
phenylephrine,salmeterol,phenylephrine||salmeterol
carfecillin,rufloxacin,carfecillin||rufloxacin
nitroprusside,procaine,nitroprusside||procaine
almasilate,isosulfan blue,almasilate||isosulfan blue
arformoterol,desmopressin,arformoterol||desmopressin
7-((carboxy(4-hydroxyphenyl)acetyl)amino)-7-methoxy-(3-((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-oxa-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,inosine,7-((carboxy(4-hydroxyphenyl)acetyl)amino)-7-methoxy-(3-((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-oxa-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid||inosine
hydroxocobalamin,pitolisant,hydroxocobalamin||pitolisant
lumateperone,ramosetron,lumateperone||ramosetron
flunarizine,nicardipine,flunarizine||nicardipine
cefazedone,telavancin,cefazedone||telavancin
salicylamide,terazosin,salicylamide||terazosin
darolutamide,leniolisib,darolutamide||leniolisib
buprenorphine,n-propargyl-1(s)-aminoindan,buprenorphine||n-propargyl-1(s)-aminoindan
acetaminophen,sevoflurane,acetaminophen||sevoflurane
"(1r,2s)-2-phenylcyclopropanaminium",fenoldopam,"(1r,2s)-2-phenylcyclopropanaminium||fenoldopam"
dibenzepin,estradiol valerate,dibenzepin||estradiol valerate
4-methoxyamphetamine,adipiplon,4-methoxyamphetamine||adipiplon
gepirone,tesmilifene,gepirone||tesmilifene
omaveloxolone,phenprocoumon,omaveloxolone||phenprocoumon
buspirone,lorpiprazole,buspirone||lorpiprazole
demegestone,rifampin,demegestone||rifampin
amineptine,endralazine,amineptine||endralazine
bevantolol,deupirfenidone,bevantolol||deupirfenidone
brigatinib,chloroquine,brigatinib||chloroquine
indoramin,isoflurane,indoramin||isoflurane
bisoprolol,danicopan,bisoprolol||danicopan
cariprazine,robenacoxib,cariprazine||robenacoxib
bethanidine,ergotamine,bethanidine||ergotamine
4-methoxyamphetamine,lithium cation,4-methoxyamphetamine||lithium cation
"(1r,2s)-2-phenylcyclopropanaminium",halothane,"(1r,2s)-2-phenylcyclopropanaminium||halothane"
caroxazone,linezolid,caroxazone||linezolid
hydromorphone,serotonin,hydromorphone||serotonin
miconazole,nortriptyline,miconazole||nortriptyline
cinitapride,vinyl ether,cinitapride||vinyl ether
(r)-atenolol,triclabendazole,(r)-atenolol||triclabendazole
astaxanthin,methylthiouracil,astaxanthin||methylthiouracil
1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine,dexpropranolol,1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine||dexpropranolol
brivaracetam,proquazone,brivaracetam||proquazone
curcumin sulfate,valbenazine,curcumin sulfate||valbenazine
antipyrine,lamotrigine,antipyrine||lamotrigine
dexamethasone acetate,fexinidazole,dexamethasone acetate||fexinidazole
ioflupane f-18,mofebutazone,ioflupane f-18||mofebutazone
erlotinib,raloxifene,erlotinib||raloxifene
chloral hydrate,zuranolone,chloral hydrate||zuranolone
cyproheptadine,deudomperidone,cyproheptadine||deudomperidone
pentaerythritol tetranitrate,pirlindole,pentaerythritol tetranitrate||pirlindole
icosapent,lisdexamfetamine,icosapent||lisdexamfetamine
deuruxolitinib,triamcinolone,deuruxolitinib||triamcinolone
clopidogrel,hydroxyurea,clopidogrel||hydroxyurea
lithium cation,thiazinam,lithium cation||thiazinam
phenazocine,succinylcholine,phenazocine||succinylcholine
auranofin,cicletanine,auranofin||cicletanine
dexpramipexole,urapidil,dexpramipexole||urapidil
clobazam,simvastatin,clobazam||simvastatin
bortezomib,flurithromycin,bortezomib||flurithromycin
ergometrine,ketoconazole,ergometrine||ketoconazole
allopurinol,testosterone cypionate,allopurinol||testosterone cypionate
endralazine,rescinnamine,endralazine||rescinnamine
cyclobarbital,vortioxetine,cyclobarbital||vortioxetine
guacetisal,nitroprusside,guacetisal||nitroprusside
patent blue,practolol,patent blue||practolol
lumacaftor,thalidomide,lumacaftor||thalidomide
tubocurarine,viloxazine,tubocurarine||viloxazine
d-levofloxacin,flupentixol,d-levofloxacin||flupentixol
dacarbazine,nitric oxide,dacarbazine||nitric oxide
benserazide,sumatriptan,benserazide||sumatriptan
fluprostenol,tinoridine,fluprostenol||tinoridine
arbutamine,isocarboxazid,arbutamine||isocarboxazid
cefadroxil,metyrapone,cefadroxil||metyrapone
hydrocortisone butyrate,imipramine,hydrocortisone butyrate||imipramine
l-deprenyl-d2 c-11,mephedrone,l-deprenyl-d2 c-11||mephedrone
nitrofurantoin,teriflunomide,nitrofurantoin||teriflunomide
aceprometazine,thioridazine,aceprometazine||thioridazine
bq-123,dexmedetomidine,bq-123||dexmedetomidine
alprazolam,hydralazine,alprazolam||hydralazine
apronalide,safrazine,apronalide||safrazine
alexitol sodium,selenium,alexitol sodium||selenium
dexibuprofen,flurbiprofen axetil,dexibuprofen||flurbiprofen axetil
nifenazone,xylometazoline,nifenazone||xylometazoline
deudextromethorphan,siponimod,deudextromethorphan||siponimod
bisoprolol,fosfomycin,bisoprolol||fosfomycin
avanafil,nateglinide,avanafil||nateglinide
alprazolam,roxithromycin,alprazolam||roxithromycin
netilmicin,pholcodine,netilmicin||pholcodine
arbaclofen,methoserpidine,arbaclofen||methoserpidine
hydrochlorothiazide,mequitazine,hydrochlorothiazide||mequitazine
cetirizine,chloroprocaine,cetirizine||chloroprocaine
aldosterone,mitotane,aldosterone||mitotane
capecitabine,streptozocin,capecitabine||streptozocin
conivaptan,monofluorophosphate ion,conivaptan||monofluorophosphate ion
banoxantrone,diltiazem,banoxantrone||diltiazem
benzthiazide,cimicoxib,benzthiazide||cimicoxib
ethynodiol diacetate,triflusal,ethynodiol diacetate||triflusal
betaxolol,cariporide,betaxolol||cariporide
isosulfan blue,nicorandil,isosulfan blue||nicorandil
hypericin,zolpidem,hypericin||zolpidem
felodipine,piperaquine,felodipine||piperaquine
imagabalin,isocarboxazid,imagabalin||isocarboxazid
etybenzatropine,moxonidine,etybenzatropine||moxonidine
etybenzatropine,flavoxate,etybenzatropine||flavoxate
(r)-atenolol,nicergoline,(r)-atenolol||nicergoline
bupivacaine,tolfenamic acid,bupivacaine||tolfenamic acid
arformoterol,hydroxychloroquine,arformoterol||hydroxychloroquine
fosphenytoin,tipranavir,fosphenytoin||tipranavir
buclizine,sparfloxacin,buclizine||sparfloxacin
deudomperidone,ezogabine,deudomperidone||ezogabine
ketobemidone,tapentadol,ketobemidone||tapentadol
hydracarbazine,pheniprazine,hydracarbazine||pheniprazine
daptomycin,dasabuvir,daptomycin||dasabuvir
dosulepin,oxazepam acetate,dosulepin||oxazepam acetate
meperidine,zimelidine,meperidine||zimelidine
esflurbiprofen,methoxyflurane,esflurbiprofen||methoxyflurane
glibornuride,sulfaethoxypyridazine,glibornuride||sulfaethoxypyridazine
coumarin,mifepristone,coumarin||mifepristone
dapoxetine,surinabant,dapoxetine||surinabant
benoxaprofen,mycophenolic acid,benoxaprofen||mycophenolic acid
alverine,prochlorperazine,alverine||prochlorperazine
bq-123,hydracarbazine,bq-123||hydracarbazine
doxorubicin,oliceridine,doxorubicin||oliceridine
mosapramine,solriamfetol,mosapramine||solriamfetol
antazoline,dofetilide,antazoline||dofetilide
methocarbamol,mmda,methocarbamol||mmda
chlormadinone acetate,secobarbital,chlormadinone acetate||secobarbital
ammonia n-13,fenproporex,ammonia n-13||fenproporex
bumadizone,tolazoline,bumadizone||tolazoline
floxuridine,thalidomide,floxuridine||thalidomide
droperidol,solabegron,droperidol||solabegron
englitazone,win 55212-2,englitazone||win 55212-2
bendroflumethiazide,raltitrexed,bendroflumethiazide||raltitrexed
carfilzomib,vinflunine,carfilzomib||vinflunine
risperidone,trospium,risperidone||trospium
lorazepam,oxybenzone,lorazepam||oxybenzone
mefenamic acid,ponesimod,mefenamic acid||ponesimod
mavorixafor,paroxetine,mavorixafor||paroxetine
ticlopidine,tioclomarol,ticlopidine||tioclomarol
betamethasone,gemfibrozil,betamethasone||gemfibrozil
carfecillin,geneticin,carfecillin||geneticin
amlodipine,sulfasalazine,amlodipine||sulfasalazine
dextromoramide,ethadione,dextromoramide||ethadione
dofetilide,seproxetine,dofetilide||seproxetine
doxorubicin,efavirenz,doxorubicin||efavirenz
anagrelide,metoclopramide,anagrelide||metoclopramide
ranitidine,tienilic acid,ranitidine||tienilic acid
aprepitant,nirmatrelvir,aprepitant||nirmatrelvir
cisapride,nicergoline,cisapride||nicergoline
gilteritinib,lofexidine,gilteritinib||lofexidine
nateglinide,venlafaxine,nateglinide||venlafaxine
sildenafil,triamterene,sildenafil||triamterene
chlorpromazine,moexipril,chlorpromazine||moexipril
flutamide,tezacaftor,flutamide||tezacaftor
brimonidine,tropisetron,brimonidine||tropisetron
ranolazine,tamoxifen,ranolazine||tamoxifen
hydroxytyrosol,indobufen,hydroxytyrosol||indobufen
copanlisib,tipranavir,copanlisib||tipranavir
barbexaclone,medazepam,barbexaclone||medazepam
ethyl biscoumacetate,mupirocin,ethyl biscoumacetate||mupirocin
benzgalantamine,bucindolol,benzgalantamine||bucindolol
carvedilol,lamotrigine,carvedilol||lamotrigine
brigatinib,raloxifene,brigatinib||raloxifene
perindopril,pyrantel,perindopril||pyrantel
indobufen,valdecoxib,indobufen||valdecoxib
cefdinir,solriamfetol,cefdinir||solriamfetol
pirlimycin,trifluoperazine,pirlimycin||trifluoperazine
prucalopride,trimebutine,prucalopride||trimebutine
dextromoramide,hydroflumethiazide,dextromoramide||hydroflumethiazide
mmda,naproxen,mmda||naproxen
fentanyl,pralatrexate,fentanyl||pralatrexate
hydromorphone,iproclozide,hydromorphone||iproclozide
altretamine,flucytosine,altretamine||flucytosine
chloroquine,selexipag,chloroquine||selexipag
celecoxib,finasteride,celecoxib||finasteride
antrafenine,nortriptyline,antrafenine||nortriptyline
furazolidone,trifluperidol,furazolidone||trifluperidol
oxcarbazepine,panobinostat,oxcarbazepine||panobinostat
cyclizine,nilvadipine,cyclizine||nilvadipine
indocyanine green,tipranavir,indocyanine green||tipranavir
anisotropine methylbromide,doxofylline,anisotropine methylbromide||doxofylline
drostanolone propionate,phenindione,drostanolone propionate||phenindione
cefaloridine,sumatriptan,cefaloridine||sumatriptan
probenecid,voxelotor,probenecid||voxelotor
cefsulodin,levomilnacipran,cefsulodin||levomilnacipran
benidipine,yohimbine,benidipine||yohimbine
acebutolol,amphotericin b,acebutolol||amphotericin b
ditiocarb,mirabegron,ditiocarb||mirabegron
brompheniramine,pheneturide,brompheniramine||pheneturide
copanlisib,rokitamycin,copanlisib||rokitamycin
meloxicam,terbinafine,meloxicam||terbinafine
fluticasone,phenobarbital,fluticasone||phenobarbital
beclomethasone dipropionate,nitrofurantoin,beclomethasone dipropionate||nitrofurantoin
etrasimod,lcl-161,etrasimod||lcl-161
neosaxitoxin,oxazepam acetate,neosaxitoxin||oxazepam acetate
dutasteride,reproterol,dutasteride||reproterol
gallamine triethiodide,lobeline,gallamine triethiodide||lobeline
ergotamine,norepinephrine,ergotamine||norepinephrine
garenoxacin,uric acid,garenoxacin||uric acid
meclofenamic acid,tyramine,meclofenamic acid||tyramine
bendazac,clomipramine,bendazac||clomipramine
phenprocoumon,toloxatone,phenprocoumon||toloxatone
doxylamine,olanzapine,doxylamine||olanzapine
flupentixol,vinpocetine,flupentixol||vinpocetine
acetate,capsaicin,acetate||capsaicin
bevonium,chlorprothixene,bevonium||chlorprothixene
nicorandil,sparsentan,nicorandil||sparsentan
carfentanil,paraldehyde,carfentanil||paraldehyde
fluticasone furoate,pioglitazone,fluticasone furoate||pioglitazone
lidoflazine,perflutren,lidoflazine||perflutren
guanethidine,ramiprilat,guanethidine||ramiprilat
meperidine,remimazolam,meperidine||remimazolam
indoramin,nialamide,indoramin||nialamide
"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione",clonidine,"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione||clonidine"
cephalexin,dabrafenib,cephalexin||dabrafenib
dexmecamylamine,idazoxan,dexmecamylamine||idazoxan
dasabuvir,encorafenib,dasabuvir||encorafenib
chromic cation,sodium tetradecyl sulfate,chromic cation||sodium tetradecyl sulfate
heptabarbital,pergolide,heptabarbital||pergolide
belzutifan,idelalisib,belzutifan||idelalisib
opipramol,prilocaine,opipramol||prilocaine
fexinidazole,lumacaftor,fexinidazole||lumacaftor
carvedilol,choline,carvedilol||choline
canagliflozin,ioversol,canagliflozin||ioversol
bencyclane,lamotrigine,bencyclane||lamotrigine
cicletanine,epoprostenol,cicletanine||epoprostenol
aztreonam,ibuproxam,aztreonam||ibuproxam
edetate calcium disodium anhydrous,formebolone,edetate calcium disodium anhydrous||formebolone
bucindolol,irbesartan,bucindolol||irbesartan
doxofylline,olodaterol,doxofylline||olodaterol
armodafinil,drospirenone,armodafinil||drospirenone
fedratinib,iloperidone,fedratinib||iloperidone
furosemide,rivaroxaban,furosemide||rivaroxaban
bupropion,gefitinib,bupropion||gefitinib
asciminib,dihydroergocristine,asciminib||dihydroergocristine
meclizine,pomalidomide,meclizine||pomalidomide
esreboxetine,simeprevir,esreboxetine||simeprevir
nicergoline,romifidine,nicergoline||romifidine
pentobarbital,sisomicin,pentobarbital||sisomicin
conivaptan,fenoldopam,conivaptan||fenoldopam
fosaprepitant,gestrinone,fosaprepitant||gestrinone
cabazitaxel,fosphenytoin,cabazitaxel||fosphenytoin
acetylsalicylic acid,mepivacaine,acetylsalicylic acid||mepivacaine
loxoprofen,methoxsalen,loxoprofen||methoxsalen
fenoldopam,nialamide,fenoldopam||nialamide
riociguat,tolvaptan,riociguat||tolvaptan
7-deazaguanine,sagopilone,7-deazaguanine||sagopilone
segesterone acetate,tiletamine,segesterone acetate||tiletamine
codeine,pargyline,codeine||pargyline
benzatropine,clomifene,benzatropine||clomifene
