DrugID,DrugName,CID,ChEBI_ID,Pathway_ID,Pathway_Name,Evidence,Species
103,Acenocoumarol,54676537,CHEBI:53766,R-HSA-1430728,Metabolism,TAS,Homo sapiens
103,Acenocoumarol,54676537,CHEBI:53766,R-HSA-196854,Metabolism of vitamins and cofactors,TAS,Homo sapiens
103,Acenocoumarol,54676537,CHEBI:53766,R-HSA-6806664,Metabolism of vitamin K,TAS,Homo sapiens
103,Acenocoumarol,54676537,CHEBI:53766,R-HSA-6806667,Metabolism of fat-soluble vitamins,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-1430728,Metabolism,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-156580,Phase II - Conjugation of compounds,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-156584,Cytosolic sulfonation of small molecules,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-156588,Glucuronidation,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-211859,Biological oxidations,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-211897,Cytochrome P450 - arranged by substrate type,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-211945,Phase I - Functionalization of compounds,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-211981,Xenobiotics,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-211999,CYP2E1 reactions,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-2142753,Arachidonate metabolism,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-556833,Metabolism of lipids,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-8978868,Fatty acid metabolism,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9709957,Sensory Perception,IEA,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9709957,Sensory Perception,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9717189,Sensory perception of taste,IEA,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9717189,Sensory perception of taste,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",IEA,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9748784,Drug ADME,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9749641,Aspirin ADME,TAS,Homo sapiens
106,Acetaminophen,1983,CHEBI:46195,R-HSA-9753281,Paracetamol ADME,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-112311,Neurotransmitter clearance,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-112315,Transmission across Chemical Synapses,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-112316,Neuronal System,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1428517,Aerobic respiration and respiratory electron transport,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1430728,Metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1483191,Synthesis of PC,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1483206,Glycerophospholipid biosynthesis,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1483257,Phospholipid metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1630316,Glycosaminoglycan metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-2022928,HS-GAG biosynthesis,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-211859,Biological oxidations,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-211945,Phase I - Functionalization of compounds,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-212436,Generic Transcription Pathway,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-3214815,HDACs deacetylate histones,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-3247509,Chromatin modifying enzymes,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-3700989,Transcriptional Regulation by TP53,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-389887,Beta-oxidation of pristanoyl-CoA,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-390918,Peroxisomal lipid metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-392499,Metabolism of proteins,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-4839726,Chromatin organization,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-5423646,Aflatoxin activation and detoxification,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-556833,Metabolism of lipids,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-5633007,Regulation of TP53 Activity,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-6804758,Regulation of TP53 Activity through Acetylation,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-70268,Pyruvate metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-71384,Ethanol oxidation,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-73857,RNA Polymerase II Transcription,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-74160,Gene expression (Transcription),TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-74182,Ketone body metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-77111,Synthesis of Ketone Bodies,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-8978868,Fatty acid metabolism,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9748784,Drug ADME,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9749641,Aspirin ADME,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9753281,Paracetamol ADME,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-977225,Amyloid fiber formation,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9932444,ATP-dependent chromatin remodelers,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9937848,CHD chromatin remodelers,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9937850,NuRD complex assembly,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9940951,Interaction of NuRD complexes with transcription factors,TAS,Homo sapiens
107,Acetate,175,CHEBI:30089,R-HSA-9943965,"CHD3, CHD4, CHD5 subfamily",TAS,Homo sapiens
108,Acetazolamide,1986,CHEBI:27690,R-HSA-1237044,Erythrocytes take up carbon dioxide and release oxygen,TAS,Homo sapiens
108,Acetazolamide,1986,CHEBI:27690,R-HSA-1480926,O2/CO2 exchange in erythrocytes,TAS,Homo sapiens
108,Acetazolamide,1986,CHEBI:27690,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-1430728,Metabolism,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-1643685,Disease,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-425407,SLC-mediated transmembrane transport,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-433692,Proton-coupled monocarboxylate transport,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-556833,Metabolism of lipids,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-5619102,SLC transporter disorders,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-5619115,Disorders of transmembrane transporters,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-74182,Ketone body metabolism,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-77108,Utilization of Ketone Bodies,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-77111,Synthesis of Ketone Bodies,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-9748784,Drug ADME,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-9749641,Aspirin ADME,TAS,Homo sapiens
109,Acetoacetic acid,96,CHEBI:15344,R-HSA-9955298,SLC-mediated transport of organic anions,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-112310,Neurotransmitter release cycle,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-112311,Neurotransmitter clearance,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-112315,Transmission across Chemical Synapses,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-112316,Neuronal System,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-1430728,Metabolism,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-1430728,Metabolism,IEA,Homo sapiens
