DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
529.0,Caffeine,RYR3,hgnc:10485,activator,GuideToPharmacology,0.1729803578211853,1.0
2484.0,Protirelin,TRHR,hgnc:12299,agonist,ChEMBL,15.12342556950935,2.0
672.0,Chlormezanone,TSPO,hgnc:1158,,TdgClinicalTrial,4.291782931887789,3.0
2834.0,Temazepam,TSPO,hgnc:1158,,TdgClinicalTrial,0.1950810423585358,3.0
1316.0,Flunitrazepam,TSPO,hgnc:1158,,TdgClinicalTrial,0.2258833122046204,3.0
1756.0,Lorazepam,TSPO,hgnc:1158,,TdgClinicalTrial,0.1716713172755115,3.0
1181.0,Eszopiclone,TSPO,hgnc:1158,,TdgClinicalTrial,0.1683052130152074,2.0
3136.0,Zaleplon,TSPO,hgnc:1158,,TdgClinicalTrial,0.7152971553146314,2.0
460.0,Bortezomib,PSMA8,hgnc:22985,inhibitor,ChEMBL,0.3517075713839384,4.0
1649.0,Ixazomib,PSMA8,hgnc:22985,inhibitor,ChEMBL,0.1844320191403579,1.0
580.0,Carfilzomib,PSMA8,hgnc:22985,inhibitor,ChEMBL,0.5041141856503117,4.0
461.0,Bortezomib D-mannitol,PSMA8,hgnc:22985,inhibitor,ChEMBL,0.1989924417040704,1.0
1568.0,Iloperidone,ZFP91-CNTF,hgnc:33441,,PharmGKB,5.881332165920304,2.0
2221.0,Paliperidone,ADCK1,hgnc:19038,,PharmGKB,8.821998248880455,2.0
98.0,Acarbose,SI,hgnc:10856,,TdgClinicalTrial,2.205499562220113,2.0
1039.0,Doxacurium,CHRND,hgnc:1965,inhibitor,ChEMBL,0.5041141856503116,1.0
314.0,Atracurium besylate,CHRND,hgnc:1965,inhibitor,ChEMBL,0.5881332165920303,1.0
1408.0,Gallamine triethiodide,CHRND,hgnc:1965,inhibitor,ChEMBL,0.3207999363229256,1.0
1213.0,Etomidate,GABRG3,hgnc:4088,,DTC,0.1353759322078842,4.0
119.0,Acetylsalicylic acid,NAT1,hgnc:7645,,NCI,0.3007499403027427,2.0
2731.0,Streptozocin,CTSD,hgnc:2529,,NCI,0.3287701210762902,2.0
2539.0,Regorafenib,FGFR1,hgnc:3688,inhibitor,MyCancerGenomeClinicalTrial,0.0448671239612483,4.0
1598.0,Infigratinib,FGFR1,hgnc:3688,inhibitor,MyCancerGenomeClinicalTrial,0.3218728458089554,20.0
2271.0,Pentoxifylline,PDE6B,hgnc:8786,inhibitor,ChEMBL,0.7784116101953342,1.0
1011.0,Dipyridamole,PDE6B,hgnc:8786,inhibitor,ChEMBL,0.5189410734635561,1.0
786.0,Copanlisib,PIK3R3,hgnc:8981,inhibitor,MyCancerGenomeClinicalTrial,0.1547718991031658,2.0
176.0,Alpelisib,PIK3R3,hgnc:8981,inhibitor,MyCancerGenomeClinicalTrial,0.0891110934230349,2.0
839.0,Dactolisib,PIK3R3,hgnc:8981,inhibitor,MyCancerGenomeClinicalTrial,0.1002499801009142,3.0
831.0,DPDPE,SLCO1C1,hgnc:13819,inhibitor,GuideToPharmacology,3.30824934333017,1.0
2445.0,Probenecid,SLCO1C1,hgnc:13819,inhibitor,GuideToPharmacology,0.661649868666034,1.0
655.0,Ceritinib,ALK,hgnc:427,,DoCM,2.704332413835915,89.0
797.0,Crizotinib,ALK,hgnc:427,,DoCM,2.164681361367084,137.0
2576.0,Rigosertib,PIK3CB,hgnc:8976,,TdgClinicalTrial,0.053358860376293,1.0
1046.0,Doxorubicin,HAS3,hgnc:4820,,PharmGKB,0.2125782710573603,2.0
1422.0,Gemcitabine,DCP1B,hgnc:24451,,PharmGKB,1.306962703537845,2.0
497.0,Bumetanide,SLC12A5,hgnc:13818,,TEND,2.205499562220113,2.0
2824.0,Tegafur,DPYD,hgnc:3012,,CGI,2.205499562220113,5.0
555.0,Capecitabine,DPYD,hgnc:3012,,CGI,0.3849599235875107,6.0
567.0,Carbetocin,OXTR,hgnc:8529,,TTD,2.242880910732319,5.0
901.0,Desmopressin,OXTR,hgnc:8529,,TTD,0.358860945717171,2.0
312.0,Atosiban,OXTR,hgnc:8529,,TTD,0.6728642732196956,3.0
1897.0,Methoxsalen,CYP2A6,hgnc:2610,,TTD,0.2940666082960151,1.0
