DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
chlormadinone acetate,6,13,19,True
chlormezanone,7,25,32,True
chloroform,3,2,5,True
chloroprocaine,17,44,61,True
chloropyramine,2,0,2,True
chloroquine,14,59,73,True
chlorothiazide,37,22,59,True
chlorotrianisene,9,1,10,True
chlorpheniramine,16,33,49,True
chlorphenoxamine,15,14,29,True
chlorphentermine,1,34,35,True
chlorproethazine,27,3,30,True
chlorproguanil,2,3,5,True
chlorpromazine,0,110,110,True
chlorpropamide,21,40,61,True
chlorprothixene,10,46,56,True
chlorsulfaquinoxaline,8,1,9,True
chlortetracycline,2,0,2,True
chlorzoxazone,20,63,83,True
cholecalciferol,6,15,21,True
cholesterol,3,3,6,True
cholic acid,13,1,14,True
choline,35,45,80,True
chromic cation,41,3,44,True
chromium,4,23,27,True
chromium picolinate,3,1,4,True
cibenzoline,17,6,23,True
ciclesonide,34,22,56,True
cicletanine,64,7,71,True
ciclopirox,0,2,2,True
cidofovir,4,28,32,True
cidoxepin,40,68,108,True
ciglitazone,3,29,32,True
cilansetron,12,9,21,True
cilastatin,2,1,3,True
cilazapril,26,8,34,True
cilazaprilat,2,6,8,True
cilnidipine,34,17,51,True
cilostazol,18,49,67,True
cimetidine,78,2,80,True
cimetropium,6,4,10,True
cimicoxib,39,21,60,True
cinacalcet,5,13,18,True
cinazepam,15,17,32,True
cinchocaine,34,47,81,True
cinchophen,0,1,1,True
cinitapride,3,50,53,True
cinnamaldehyde,2,1,3,True
cinnarizine,51,8,59,True
cinolazepam,2,31,33,True
cinoxacin,6,35,41,True
ciprofibrate,2,1,3,True
ciprofloxacin,42,33,75,True
cirazoline,2,25,27,True
cis-diamminechlorocholylglycinateplatinum(ii),2,3,5,True
cisapride,54,10,64,True
citalopram,13,60,73,True
citrulline,3,5,8,True
cladribine,9,19,28,True
clarithromycin,57,0,57,True
clavulanic acid,5,0,5,True
clemastine,2,49,51,True
clenbuterol,10,26,36,True
clevidipine,43,23,66,True
clidinium,30,15,45,True
clinafloxacin,4,6,10,True
clindamycin,17,10,27,True
clobazam,55,4,59,True
clobetasol,3,1,4,True
clobetasol propionate,27,0,27,True
clobetasone,0,11,11,True
clocortolone,0,4,4,True
clocortolone acetate,29,2,31,True
clodronic acid,19,0,19,True
clofarabine,6,39,45,True
clofazimine,4,25,29,True
clofedanol,0,1,1,True
clofenamide,14,17,31,True
clofibrate,6,10,16,True
clofibride,4,1,5,True
clomethiazole,20,19,39,True
clometocillin,6,1,7,True
clomifene,20,5,25,True
clomipramine,64,16,80,True
clomocycline,7,1,8,True
clonazepam,57,11,68,True
clonidine,60,15,75,True
clonixin,59,6,65,True
clopamide,12,13,25,True
clopenthixol,13,57,70,True
clopidogrel,37,8,45,True
cloprednol,0,53,53,True
cloprostenol,2,13,15,True
cloranolol,3,37,40,True
clorazepic acid,6,57,63,True
clorexolone,3,18,21,True
clorgiline,44,7,51,True
cloricromen,11,4,15,True
clorindione,21,30,51,True
clorobiocin,1,0,1,True
clorsulon,5,5,10,True
clostebol,1,0,1,True
clothiapine,26,15,41,True
clotiazepam,38,6,44,True
clotrimazole,0,1,1,True
cloxacillin,3,7,10,True
cloxazolam,2,25,27,True
clozapine,30,67,97,True
cm-4307,27,24,51,True
cobicistat,1,26,27,True
cobimetinib,26,1,27,True
cocaine,1,72,73,True
codeine,21,28,49,True
colchicine,35,13,48,True
colistimethate,31,2,33,True
combretastatin a4,2,0,2,True
conivaptan,41,19,60,True
copanlisib,6,20,26,True
copper,1,0,1,True
cordycepin,0,1,1,True
corticosterone,2,3,5,True
cortisone,20,17,37,True
cortisone acetate,34,14,48,True
cortivazol,13,25,38,True
coumaphos,24,2,26,True
coumarin,0,64,64,True
coumermycin a1,1,0,1,True
crenolanib,1,1,2,True
crizotinib,22,21,43,True
cudc-101,11,7,18,True
curcumin,6,36,42,True
curcumin sulfate,13,12,25,True
cyamemazine,12,25,37,True
cyanocobalamin,9,29,38,True
cyclacillin,8,0,8,True
cyclandelate,4,27,31,True
cyclic adenosine monophosphate,3,2,5,True
cyclizine,8,45,53,True
cyclobarbital,2,31,33,True
cyclobenzaprine,25,18,43,True
cycloguanil,1,1,2,True
cyclohexylammonium ion,1,1,2,True
cyclopentamine,4,1,5,True
cyclopenthiazide,72,2,74,True
cyclopentolate,2,5,7,True
cyclophosphamide,44,5,49,True
cyclopropane,12,9,21,True
cycloserine,9,0,9,True
cyclosporine,40,47,87,True
cyclothiazide,61,3,64,True
cycrimine,6,17,23,True
cymarin,1,18,19,True
cyproheptadine,33,25,58,True
cyproterone acetate,12,23,35,True
cysteamine,2,0,2,True
cytarabine,3,15,18,True
d-chiro-inositol,24,6,30,True
d-levofloxacin,48,13,61,True
d-phenylalanine,9,0,9,True
d-tryptophan,8,28,36,True
dabigatran,1,27,28,True
dabigatran etexilate,39,22,61,True
dabrafenib,63,3,66,True
dacarbazine,40,11,51,True
daclatasvir,22,10,32,True
dacomitinib,21,23,44,True
dactinomycin,11,16,27,True
dactolisib,3,1,4,True
daidzein,0,1,1,True
daidzin,1,2,3,True
dalfampridine,18,16,34,True
dalfopristin,6,7,13,True
danazol,13,20,33,True
danicopan,11,14,25,True
danoprevir,0,46,46,True
dantrolene,21,14,35,True
dantron,7,8,15,True
dapagliflozin,17,9,26,True
dapiprazole,0,1,1,True
dapoxetine,9,47,56,True
daprodustat,1,9,10,True
dapsone,12,12,24,True
daptomycin,33,6,39,True
dar-0100a,4,0,4,True
darexaban,18,6,24,True
daridorexant,23,18,41,True
darifenacin,31,14,45,True
darodipine,6,14,20,True
