CID100010631,medroxyprogesterone,1535,Hydroxyprogesterone,0.8947,CHEBI:17252,6238.0,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,10631,6238.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002249,atenolol,10,(R)-Atenolol,0.8889,CHEBI:55352,180559.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2249,180559.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002284,baclofen,275,Arbaclofen,0.8889,CHEBI:190735,44602.0,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284,44602.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003308,etodolac,17,(R)-etodolac,0.8889,CHEBI:60370,667528.0,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,3308,667528.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003821,ketamine,284,Arketamine,0.8889,CHEBI:580604,644025.0,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,3821,644025.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003883,lansoprazole,924,Dexlansoprazole,0.8889,CHEBI:135931,9578005.0,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,3883,9578005.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004032,mecamylamine,926,Dexmecamylamine,0.8889,,12358972.0,CC1(C2CCC(C2)C1(C)NC)C,4032,12358972.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004095,methadone,1187,Ethadione,0.8889,CHEBI:81296,10630.0,CCN1C(=O)C(OC1=O)(C)C,4095,10630.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005040,rapamycin,265,Apramycin,0.8889,CHEBI:2790,3081545.0,CNC1C(C2C(CC(C(O2)OC3C(CC(C(C3O)O)N)N)N)OC1OC4C(C(C(C(O4)CO)N)O)O)O,5040,3081545.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID105001396,warfarin,18,(R)-warfarin,0.8889,CHEBI:87737,54684598.0,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,5001396,54684598.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID105381226,rifampicin,2572,Rifampin,0.8889,CHEBI:28077,135398735.0,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,5381226,135398735.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004120,N-methylscopolamine,1900,Methscopolamine,0.8824,CHEBI:135361,71183.0,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C,4120,71183.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003151,domperidone,912,Deudomperidone,0.88,,153420471.0,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151,153420471.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004885,pramipexole,931,Dexpramipexole,0.88,CHEBI:232420,59868.0,CCCNC1CCC2=C(C1)SC(=N2)N,4885,59868.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004946,propranolol,932,Dexpropranolol,0.88,CHEBI:8736,21138.0,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,4946,21138.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005029,rabeprazole,933,Dexrabeprazole,0.88,CHEBI:134729,9906855.0,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC,5029,9906855.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005591,troglitazone,2063,Netoglitazone,0.88,,204109.0,C1=CC=C(C(=C1)COC2=CC3=C(C=C2)C=C(C=C3)CC4C(=O)NC(=O)S4)F,5591,204109.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005591,troglitazone,2597,Rivoglitazone,0.88,,3055168.0,CN1C2=C(C=CC(=C2)OC)N=C1COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4,5591,3055168.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005591,troglitazone,2616,Rosiglitazone,0.88,CHEBI:50122,77999.0,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,5591,77999.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100040632,pirfenidone,913,Deupirfenidone,0.88,,25145077.0,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,40632,25145077.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID117754772,ruxolitinib,914,Deuruxolitinib,0.88,,72704611.0,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,17754772,72704611.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100000191,adenosine,132,Adenine,0.875,CHEBI:16708,190.0,C1=NC2=NC=NC(=C2N1)N,191,190.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003158,doxepin,702,Cidoxepin,0.875,CHEBI:4710,667468.0,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,3158,667468.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003249,vitamin,3110,Vitamin A,0.875,CHEBI:17336,445354.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,3249,445354.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003269,estriol,1171,Estradiol,0.875,CHEBI:16469,5757.0,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3269,5757.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004812,vitamin,3110,Vitamin A,0.875,CHEBI:17336,445354.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,4812,445354.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002349,penicillin,2258,Penicillamine,0.8696,CHEBI:7959,5852.0,CC(C)(C(C(=O)O)N)S,2349,5852.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002349,penicillin,2298,Pheneticillin,0.8696,CHEBI:52427,272833.0,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,2349,272833.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003825,ketoprofen,923,Dexketoprofen,0.8696,CHEBI:76128,667550.0,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,3825,667550.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004623,oxiconazole,3117,Voriconazole,0.8696,CHEBI:10023,71616.0,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,4623,71616.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004730,penicillin,2258,Penicillamine,0.8696,CHEBI:7959,5852.0,CC(C)(C(C(=O)O)N)S,4730,5852.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004730,penicillin,2298,Pheneticillin,0.8696,CHEBI:52427,272833.0,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,4730,272833.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005404,terconazole,1644,Itraconazole,0.8696,CHEBI:6076,55283.0,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,5404,55283.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100047471,butoconazole,2925,Tioconazole,0.8696,CHEBI:77898,5482.0,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,47471,5482.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003392,flurandrenolone,1338,Flurandrenolide,0.8667,CHEBI:5127,15209.0,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,3392,15209.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100000612,lactate,107,Acetate,0.8571,CHEBI:30089,175.0,CC(=O)[O-],612,175.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100001206,methamphetamine,55,4-Methoxyamphetamine,0.8571,,31721.0,CC(CC1=CC=C(C=C1)OC)N,1206,31721.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002520,verapamil,942,Dexverapamil,0.8571,CHEBI:77734,65808.0,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,2520,65808.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003100,diphenhydramine,480,Bromodiphenhydramine,0.8571,CHEBI:59177,2444.0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,3100,2444.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003198,econazole,1661,Ketoconazole,0.8571,CHEBI:47518,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,3198,47576.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003672,ibuprofen,921,Dexibuprofen,0.8571,CHEBI:43415,39912.0,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,3672,39912.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004048,megestrol,1837,Melengestrol,0.8571,,9906614.0,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,4048,9906614.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004095,methadone,2121,Normethadone,0.8571,CHEBI:135242,10090.0,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,4095,10090.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004583,ofloxacin,1121,Enrofloxacin,0.8571,CHEBI:35720,71188.0,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,4583,71188.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004583,ofloxacin,1742,Lomefloxacin,0.8571,CHEBI:116278,3948.0,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,4583,3948.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004623,oxiconazole,1946,Miconazole,0.8571,CHEBI:82892,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,4623,4189.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005071,rimantadine,197,Amantadine,0.8571,CHEBI:2618,2130.0,C1C2CC3CC1CC(C2)(C3)N,5071,2130.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100019090,megestrol,1837,Melengestrol,0.8571,,9906614.0,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,19090,9906614.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100047319,atracurium,1414,Gantacurium,0.8571,,10102486.0,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)C(=CC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5C4C6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C)Cl,47319,10102486.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100060864,olopatadine,1755,Loratadine,0.8571,CHEBI:6538,3957.0,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,60864,3957.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID111235728,Saxagliptin,243,Anagliptin,0.8571,CHEBI:136043,44513473.0,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N3CCCC3C#N,11235728,44513473.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100119212,benzylpenicilloyl,403,Benzylpenicillin,0.8485,CHEBI:18208,5904.0,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,119212,5904.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100000146,5-methyltetrahydrofolate,62,5-methyltetrahydrofolic acid,0.8462,,135415868.0,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,146,135415868.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100001206,methamphetamine,235,Amphetamine,0.8462,CHEBI:132233,3007.0,CC(CC1=CC=CC=C1)N,1206,3007.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002344,benztropine,1222,Etybenzatropine,0.8462,CHEBI:135972,20055089.0,CCN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,2344,20055089.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002367,dexamethasone,415,Betamethasone,0.8462,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,2367,9782.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003003,dexamethasone,415,Betamethasone,0.8462,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,3003,9782.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100055480,milnacipran,1711,Levomilnacipran,0.8462,CHEBI:136040,6917779.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,55480,6917779.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002349,penicillin,1133,Epicillin,0.8421,CHEBI:58974,71392.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CCC=CC3)N)C(=O)O)C,2349,71392.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002484,butenafine,498,Bunaftine,0.8421,CHEBI:135392,36131.0,CCCCN(CCN(CC)CC)C(=O)C1=CC=CC2=CC=CC=C21,2484,36131.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100002800,clomiphene,752,Clomifene,0.8421,CHEBI:177766,1548955.0,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,2800,1548955.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100003198,econazole,1946,Miconazole,0.8421,CHEBI:82892,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,3198,4189.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004095,methadone,1871,Metadoxine,0.8421,,115198.0,CC1=NC=C(C(=C1O)CO)CO.C1CC(=O)NC1C(=O)O,4095,115198.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100004730,penicillin,1133,Epicillin,0.8421,CHEBI:58974,71392.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CCC=CC3)N)C(=O)O)C,4730,71392.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005564,triclosan,3004,Trilostane,0.8421,CHEBI:32260,656583.0,CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C,5564,656583.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100005651,Vancocine,3074,Vancomycin,0.8421,CHEBI:28001,14969.0,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,5651,14969.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100037720,pentosan,2270,Pentostatin,0.8421,CHEBI:27834,439693.0,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,37720,439693.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100051634,miglustat,1091,Eliglustat,0.8421,CHEBI:82752,23652731.0,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O,51634,23652731.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID105381226,rifampicin,2573,Rifamycin,0.8421,CHEBI:29673,6324616.0,CC1C=CC=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C,5381226,6324616.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID109825285,azilsartan,3071,Valsartan,0.8421,CHEBI:9927,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,9825285,60846.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID111238823,azilsartan,3071,Valsartan,0.8421,CHEBI:9927,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,11238823,60846.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100007012,phenylbutyric,2325,Phenylbutyric acid,0.8387,CHEBI:41500,4775.0,C1=CC=C(C=C1)CCCC(=O)O,7012,4775.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
CID100001805,5-azacytidine,329,Azacitidine,0.8333,CHEBI:2038,9444.0,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,1805,9444.0,False,MEDIUM_REVIEW,,Moderate similarity; manual verification required
