DrugID,DrugName,CID
1265,Fentiazac,28871.0
1266,Fenyramidol,9470.0
1270,Ferric oxide,518696.0
1272,Ferrous cation,27284.0
1280,Fiacitabine,50312.0
1299,Florfenicol,114811.0
1303,Fluclorolone,76962649.0
1307,Fludeoxyglucose,170049.0
1317,Flunixin,38081.0
1318,Flunoxaprofen,68869.0
1321,Fluocortin,22875828.0
1322,Fluocortolone,9053.0
1323,Fluocortolone caproate,20054915.0
1324,Fluocortolone pivalate,119871.0
1331,Fluperolone,56841872.0
1334,Fluprednidene,11794741.0
1335,Fluprednidene acetate,9980241.0
1340,Flurbiprofen axetil,3395.0
1341,Flurithromycin,71260.0
1357,Formocortal,289085.0
1364,Fosgemcitabine palabenamide,134812042.0
1366,Fosinoprilat,62956.0
1383,Fusafungine,3084092.0
1403,Gadoteric acid,158536.0
1405,Gadoxetic acid,25203894.0
1418,Gedocarnil,219095.0
1430,Gepefrine,219105.0
1435,Gestonorone,102210.0
1441,Gitoformate,20055283.0
1445,Gleptoferron,
1446,Glibornuride,12818200.0
1470,Guacetisal,68749.0
1474,Guanazodine,36054.0
1479,Guanoclor,71835.0
1480,Guanoxabenz,9567831.0
1481,Guanoxan,16564.0
1488,Halometasone,9846332.0
1491,Haloxon,9454.0
1498,Hexaminolevulinate,6433083.0
1499,Hexapropymate,9661.0
1503,Hexoprenaline,3609.0
1504,Higenamine,114840.0
1506,Histapyrrodine,68122.0
1511,Hydracarbazine,71653.0
1523,Hydrocortisone succinate,16623.0
1526,Hydrogen iodide,24841.0
1530,Hydroquinidine,91503.0
1548,Ibopamine,68555.0
1579,Imipramine oxide,65589.0
1584,Indenolol,71955.0
1591,Indobufen,107641.0
1602,Iofetamine I-123,156375.0
1603,Ioflupane F-18,11626128.0
1606,Iothalamic acid,3737.0
1607,Ioversol,3741.0
1609,Ipidacrine,604519.0
1612,Iprazochrome,65594.0
1613,Iprindole,21722.0
1614,Iproclozide,19063.0
1621,Iron polymaltose,
1626,Isobromindione,68953.0
1638,Isosulfan blue,50108.0
1650,JNJ-26489112,11616111.0
1653,KRN-5500,6440176.0
1656,Kaolin,
1657,Kebuzone,3824.0
1664,Kitasamycin,
1665,L-deprenyl-D2 C-11,90274764.0
1681,Lanthanum III cation,104897.0
1706,Levmetamfetamine,36604.0
1710,Levomenol,442343.0
1716,Levovirin,460516.0
1749,Lonazolac,68706.0
1754,Lorajmine,76957773.0
1757,Lorcainide,42884.0
1763,Lortalamine,70695665.0
1779,Luseogliflozin,11988953.0
1782,Lynestrenol,5857.0
1786,MLN576,9886593.0
1791,Maduramicin,68595.0
1795,Magnesium orotate,3036905.0
1796,Magnesium silicate,72941442.0
1798,Malacidin B,132282519.0
1803,Mannitol busulfan,142775.0
1804,Mannosulfan,20055482.0
1807,Marbofloxacin,60651.0
1812,Maxacalcitol,6398761.0
1813,Mazaticol,68667.0
1817,Mebhydrolin,22530.0
1818,Mebicar,122282.0
1819,Mebrofenin,54158.0
1821,Mebutizide,71652.0
1827,Medifoxamine,36109.0
1832,Mefenorex,21777.0
1833,Mefruside,4047.0
