STITCH_ID,SIDER_DrugName,PubChemCID,DrugID,MasterDrugName
CID105311167,halobetasol,5311167,3046.0,Ulobetasol
CID105328940,bosutinib,5328940,463.0,Bosutinib
CID105464096,ramiprilat,5464096,2531.0,Ramiprilat
CID106326970,selenium,6326970,2658.0,Selenium
CID106442177,everolimus,6442177,1224.0,Everolimus
CID106445540,ixabepilone,6445540,1648.0,Ixabepilone
CID106918182,strontium,6918182,2733.0,Strontium ranelate
CID106918456,prasugrel,6918456,2421.0,Prasugrel
CID106918462,retapamulin,6918462,2561.0,Retapamulin
CID106918558,fesoterodine,6918558,1276.0,Fesoterodine
CID106918638,belinostat,6918638,367.0,Belinostat
CID109853053,lomitapide,9853053,1746.0,Lomitapide
CID109854489,fluticasone,9854489,1345.0,Fluticasone furoate
CID109865528,mirabegron,9865528,1961.0,Mirabegron
CID109869929,avanafil,9869929,321.0,Avanafil
CID109871419,ticagrelor,9871419,2910.0,Ticagrelor
CID109887712,dapagliflozin,9887712,849.0,Dapagliflozin
CID109924495,perampanel,9924495,2272.0,Perampanel
CID109941444,SOM230,9941444,2241.0,Pasireotide
CID109966051,Lu,9966051,3119.0,Vortioxetine
CID110096344,linagliptin,10096344,1724.0,Linagliptin
CID110113978,pazopanib,10113978,2244.0,Pazopanib
CID110178705,besifloxacin,10178705,412.0,Besifloxacin
CID110182969,apixaban,10182969,262.0,Apixaban
CID110324367,boceprevir,10324367,454.0,Boceprevir
CID110482134,glycerol,10482134,1456.0,Glycerol phenylbutyrate
CID111001318,tafamidis,11001318,2789.0,Tafamidis
CID111167602,regorafenib,11167602,2539.0,Regorafenib
CID111234049,TR-700,11234049,2821.0,Tedizolid
CID111304743,riociguat,11304743,2584.0,Riociguat
CID111501341,florbetaben,11501341,1297.0,Florbetaben F-18
CID111556711,Carfilzomib,11556711,580.0,Carfilzomib
CID111707110,trametinib,11707110,2968.0,Trametinib
CID111949646,empagliflozin,11949646,1105.0,Empagliflozin
CID115951529,MDV3100,15951529,1128.0,Enzalutamide
CID116004692,macitentan,16004692,1790.0,Macitentan
CID116129617,cosyntropin,16129617,2872.0,Tetracosactide
CID116129704,Bivalirudin,16129704,451.0,Bivalirudin
CID116136245,degarelix,16136245,875.0,Degarelix
CID119371515,alcaftadine,19371515,146.0,Alcaftadine
CID124776445,vismodegib,24776445,3109.0,Vismodegib
CID124812758,canagliflozin,24812758,543.0,Canagliflozin
CID124822371,florbetapir,24822371,1298.0,Florbetapir F-18
CID124826799,ponatinib,24826799,2399.0,Ponatinib
CID124965990,suvorexant,24965990,2782.0,Suvorexant
CID125074470,Triptorelin,25074470,3017.0,Triptorelin
CID125077405,Nafarelin,25077405,2021.0,Nafarelin
CID125077993,Histrelin,25077993,1507.0,Histrelin
CID125102847,cabozantinib,25102847,526.0,Cabozantinib
CID142611257,vemurafenib,42611257,3082.0,Vemurafenib
CID144462760,dabrafenib,44462760,834.0,Dabrafenib
