STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100037720,pentosan,2270,Pentostatin,0.8421,CHEBI:27834,439693.0,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
CID100051634,miglustat,1091,Eliglustat,0.8421,CHEBI:82752,23652731.0,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O
CID105381226,rifampicin,2573,Rifamycin,0.8421,CHEBI:29673,6324616.0,CC1C=CC=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
CID109825285,azilsartan,3071,Valsartan,0.8421,CHEBI:9927,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
CID111238823,azilsartan,3071,Valsartan,0.8421,CHEBI:9927,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
CID100007012,phenylbutyric,2325,Phenylbutyric acid,0.8387,CHEBI:41500,4775.0,C1=CC=C(C=C1)CCCC(=O)O
CID100001805,5-azacytidine,329,Azacitidine,0.8333,CHEBI:2038,9444.0,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
CID100002019,actinomycin,2716,Spectinomycin,0.8333,CHEBI:9215,15541.0,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
CID100003381,fluocinolone,1320,Fluocinonide,0.8333,CHEBI:5109,9642.0,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
CID100003883,lansoprazole,2228,Pantoprazole,0.8333,CHEBI:7915,4679.0,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
CID100004036,meclofenamate,1210,Etofenamate,0.8333,CHEBI:94731,35375.0,C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F
CID100004158,methylphenidate,2671,Serdexmethylphenidate,0.8333,,134823895.0,COC(=O)C(C1CCCCN1C(=O)OC[N+]2=CC=CC(=C2)C(=O)NC(CO)C(=O)[O-])C3=CC=CC=C3
