OriginalDrugName,MatchedName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Status
Hydroxyamphetamine,Hydroxyamphetamine,3651,CC(CC1=CC=C(C=C1)O)N,151.21,1.4,46.3,2,2,2,Recovered
Sulfamerazine,Sulfamerazine,5325,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,264.31,0.1,106.0,2,6,3,Recovered
