"# GtoPdb Version: 2026.2 - published: 2026-06-15"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID","Webpage URLs","Patent Numbers"
"ABCC5","783",,"ABCC5","O15440","ENSG00000114770",,"",,,,,"","Human","8829","compound 2 [PMID: 22380603]",,,,,"252827486","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","7.190000057220459","","Ki","","65.30000305175781","","=","","","","22380603",,
"ABCC5","783",,"ABCC5","O15440","ENSG00000114770",,"",,,,,"","Human","4743","sildenafil",,,,,"178101454","true","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","5.920000076293945","","Ki","","1200.0","","=","","","","22380603",,
"ABCC9","2746",,"ABCC9","O60706","ENSG00000069431",,"",,,,,"","Human","8808","compound 13b [PMID: 19101153]",,,,,"252827466","false","Allosteric modulator","Positive","Compound 13b is a channel opener.","Not Determined","false","false","","pEC50","","6.170000076293945","","EC50","","670.0","","=","","","","19101153",,
"ABCG2","792",,"ABCG2","Q9UNQ0","ENSG00000118777",,"",,,,,"","Human","1024","cyclosporin A",,,,,"135652074","true","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","6.300000190734863","","Ki","","500.0","","=","Inhibition of ABCG2-ATPase activity induced by substrate binding.","","","11437380",,
"ABCG2","792",,"ABCG2","Q9UNQ0","ENSG00000118777",,"",,,,,"","Human","13578","elacridar",,,,,"504705397","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.710000038146973","","IC50","","193.0","","=","","","","24900683",,
"ABCG2","792",,"ABCG2","Q9UNQ0","ENSG00000118777",,"",,,,,"","Human","13578","elacridar",,,,,"504705397","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.900000095367432","","IC50","","127.0","","=","","","","21570282",,
"ABCG2","792",,,,,,"",,,,,"","None","10008","Fumitremorgin C",,,,,"374883895","false","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","",,,
"ABCG2","792",,,,,,"",,,,,"","None","10007","Ko 143",,,,,"374883894","false","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","",,,
"ABCG2","792",,,,,,"",,,,,"","None","10006","KS 176",,,,,"374883893","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.230000019073486","","IC50","","590.0","","=","Pheo A assay","","",,,
"ABCG2","792",,"ABCG2","Q9UNQ0","ENSG00000118777",,"",,,,,"","Human","12446","nobiletin",,,,,"479821236","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.360000133514404","","IC50","","4400.0","","=","Inhibition of hBCRP expressed in MCF-7 MX cells","","","21354800",,
"ABCG2","792",,"ABCG2","Q9UNQ0","ENSG00000118777",,"",,,,,"","Human","10372","compound 14 [PMID: 30925062]",,,,,"384403652","false","Inhibitor","Non-competitive","","Not Determined","false","false","","pIC50","","5.619999885559082","","IC50","","2380.0","","=","Measuring inhibition in MDCK II BCRP cells expressing hABCG2 by pheophorbide A assay.","","","30925062",,
"AcetylCoA transporter","1134",,"SLC33A1","O00400","ENSG00000169359",,"",,,,,"","Human","4541","[<sup>14</sup>C]acetylCoA",,,,,"178101262","false","None","Binding","","Non-selective","false","false","","-","","","","-","","","","=","","","",,,
"Alanine/serine/cysteine transporter 2","874",,"SLC1A5","Q15758","ENSG00000105281",,"",,,,,"","Human","4501","benzylcysteine",,,,,"178101229","false","Inhibitor","Inhibition","","Non-selective","false","false","","pKi","","3.109999895095825","","Ki","","780000.0","","=","","","","15107471",,
"Alanine/serine/cysteine transporter 2","874",,"SLC1A5","Q15758","ENSG00000105281",,"",,,,,"","Human","4500","benzylserine",,,,,"178101228","false","Inhibitor","Inhibition","","Non-selective","false","false","","pKi","","3.049999952316284","","Ki","","900000.0","","=","","","","15107471",,
"Alanine/serine/cysteine transporter 2","874",,"SLC1A5","Q15758","ENSG00000105281",,"",,,,,"","Human","13102","compound 25e [PMID: 38217503]",,,,,"491299884","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.289999961853027","","IC50","","5140.0","","=","","","","38217503",,
"Alanine/serine/cysteine transporter 2","874",,"Slc1a5",,"ENSRNOG00000015948",,"",,,,,"","Rat","4508","p-nitrophenyl glutamyl anilide",,,,,"178101235","false","Inhibitor","Inhibition","","Non-selective","false","false","","pKi","","4.260000228881836","","Ki","","55000.0","","=","","","","15670919",,
"Ammonium transporter Rh type A","1198",,"RHAG","Q02094","ENSG00000112077",,"",,,,,"","Human","4624","[<sup>14</sup>C]methylamine",,,,,"178101342","false","None","Binding","","Non-selective","false","false","","-","","","","-","","","","=","","","","12846905",,
"Ammonium transporter Rh type C","1200",,"Rhcg","Q9QXP0","ENSMUSG00000030549",,"",,,,,"","Mouse","4624","[<sup>14</sup>C]methylamine",,,,,"178101342","false","None","Binding","","Non-selective","false","false","","-","","","","-","","","","=","","","","16131648",,
"ATB<sup>0,+</sup>","937",,"SLC6A14","Q9UN76","ENSG00000268104",,"",,,,,"","Human","4693","&alpha;-methyl-D,L-tryptophan",,,,,"178101406","false","Inhibitor","Inhibition",,"Selective","false","false",,"pIC50","","3.6","","IC50","","250000.0","",,,,,"18522536",,
"ATP4A","849",,"ATP4A","P20648","ENSG00000105675",,"",,,,,"","Human","5488","esomeprazole",,,,,"178102135","true","Inhibitor","Inhibition","","Selective","false","true","","-","","","","-","","","","=","","","",,,
"ATP4A","849",,,,,,"",,,,,"","Rabbit","10512","ilaprazole",,,,,"387065594","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","8.050000190734863","","IC50","","9.0","","=","Measuring inhibition of histamine-induced accumulation of 14C-aminopyrine in rabbit parietal cells.","","","11304936",,
"ATP4A","849",,"ATP4A","P20648","ENSG00000105675",,"",,,,,"","Human","13761","linaprazan",,,,,"507750394","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.5","","IC50","","316.20001220703125","","=","","","","19467868",,
"ATP4A","849",,"ATP4A","P20648","ENSG00000105675",,"",,,,,"","Human","4279","omeprazole",,,,,"178101096","true","Inhibitor","Inhibition","","Selective","false","true","","-","","","","-","","","","=","","","",,,
"ATP4A","849",,,,,,"",,,,,"","Pig","12007","revaprazan",,,,,"464244148","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.460000038146973","","IC50","","350.0","","=","Inhibitory activity against H<sup>+</sup>/K<sup>+</sup> ATPase isolated from hog gastric mucosa","","","20810280",,
"ATP4A","849",,,,,,"",,,,,"","Pig","12007","revaprazan",,,,,"464244148","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.639999866485596","","IC50","","2300.0","","=","","","","35604136",,
"ATP4A","849",,"ATP4A","P20648","ENSG00000105675",,"",,,,,"","Human","12008","tegoprazan",,,,,"464244149","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.28000020980835","","IC50","","520.0","","=","Inhibition of the H<sup>+</sup>/K<sup>+</sup>-ATPase activity of recombinant human enzyme","","","29180359",,
"ATP4A","849",,,,,,"",,,,,"","Pig","11549","vonoprazan",,,,,"441604921","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.71999979019165","","IC50","","19.0","","=","Inhibition of H+/K+-ATPase activity in a gastric mucosal membrane microsomal fraction from pig stomach.","","","22512618",,
"ATP4A","849",,,,,,"",,,,,"","Pig","13433","zastaprazan",,,,,"500839843","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.78000020980835","","IC50","","16.700000762939453","","=","Determined as inhibition of H+/K+‐ATPase activity (inhibition of inorganic phosphate released by the hydrolysis of ATP) in a microsomal isolate from pig fundus (stomach)","","","37147903",,
"ATP-binding cassette, sub-family C (CFTR/MRP), member 8","2594",,"ABCC8","Q09428","ENSG00000006071",,"",,,,,"","Human","6801","chlorpropamide",,,,,"178103407","true","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","",,,
"ATP-binding cassette, sub-family C (CFTR/MRP), member 8","2594",,"ABCC8","Q09428","ENSG00000006071",,"",,,,,"","Human","6841","repaglinide",,,,,"178103447","true","Inhibitor","Inhibition","","Selective","false","true","","pIC50","","6.96999979019165","","IC50","","106.0","","=","","","","15380228",,
"Basolateral Na-K-Cl symporter","969",,"SLC12A2","P55011","ENSG00000064651",,"",,,,,"","Human","4837","bumetanide",,,,,"178101539","true","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","5.599999904632568","","-","","","","=","","","","11882915",,
"Basolateral Na-K-Cl symporter","969",,"SLC12A2","P55011","ENSG00000064651",,"",,,,,"","Human","4839","furosemide",,,,,"178101541","true","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","5.130000114440918","","-","","","","=","","","","11882915",,
"Basolateral Na-K-Cl symporter","969",,"SLC12A2","P55011","ENSG00000064651",,"",,,,,"","Human","13840","IAMA-6",,,,,"513757525","false","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","","34137257",,
"Basolateral Na-K-Cl symporter","969",,"SLC12A2","P55011","ENSG00000064651",,"",,,,,"","Human","4742","piretanide",,,,,"178101453","false","Inhibitor","Inhibition","","Non-selective","false","false","","pIC50","","5.619999885559082","","-","","","","=","","","","11882915",,
"BGT1","932",,"Slc6a12","P31651","ENSMUSG00000030109",,"",,,,,"","Mouse","4756","LU32-176B",,,,,"178101466","false","Inhibitor","Inhibition","","Selective","false","false","","pIC50","","4.0","","IC50","","100000.0","","=","","","","15550575",,
"BGT1","932",,"Slc6a12","P31651","ENSMUSG00000030109",,"",,,,,"","Mouse","4610","NNC052090",,,,,"178101330","false","Inhibitor","Inhibition","","Selective","false","false","","pKi","","5.900000095367432","","Ki","","1400.0","","=","","","","9134205",,
"BGT1","932",,"SLC6A12","P48065","ENSG00000111181",,"",,,,,"","Human","6512","(R)-EF-1520",,,,,"178103126","false","Inhibitor","Inhibition","","Selective","false","false","","pIC50","4.659999847412109","","3.740000009536743","IC50","180000.0","","22000.0","=","","","",,,
"BGT1","932",,"SLC6A12","P48065","ENSG00000111181",,"",,,,,"","Human","4583","(R/S) EF-1500",,,,,"178101304","false","Inhibitor","Inhibition",,"Selective","false","false",,"pIC50","","4.9","","IC50","","26000.0","",,,,,,,
